factor,period,mean_monthly_rank_ic,ic_standard_deviation,annualized_icir,positive_ic_month_share,months,rolling_12m_ic_at_period_end,retrospective_change_vs_development,retrospective_change_vs_selection
low_volatility,selection,0.1056816690912753,0.12078043947394562,3.0310540529910286,0.875,24,0.11784073309510258,-0.009051369561942788,-0.023508420267641744
low_volatility,retrospective_test,0.08217324882363355,0.1590965649395536,1.7892057196785904,0.7391304347826086,23,0.06890890515372068,-0.009051369561942788,-0.023508420267641744
large_cap_stability,development,0.02868303052113109,0.13957421533356984,0.7118860178997389,0.5208333333333334,48,-0.04078571665120654,-0.03354179710309734,0.027362211585018947
large_cap_stability,selection,-0.0322209781669852,0.15787035911201294,-0.7070151935891709,0.375,24,-0.05307716779780423,-0.03354179710309734,0.027362211585018947
large_cap_stability,retrospective_test,-0.004858766581966252,0.19762200805494337,-0.08516896134102214,0.391304347826087,23,-0.03794587308730311,-0.03354179710309734,0.027362211585018947
short_reversal,development,0.058985719468892715,0.10647368210866053,1.9190895067733682,0.6875,48,0.06368781006932815,0.020779827199005972,0.011550112575202262
short_reversal,selection,0.06821543409269643,0.1134533882304647,2.082839473580214,0.75,24,0.01571749883693778,0.020779827199005972,0.011550112575202262
short_reversal,retrospective_test,0.07976554666789869,0.12999697291985693,2.1255568713508612,0.782608695652174,23,0.0748644898447054,0.020779827199005972,0.011550112575202262
illiquidity_premium,development,0.027753055502212364,0.11938573798939722,0.8052838304585413,0.6041666666666666,48,0.0819079798631902,0.0030562305352602667,-0.047154475004629645
illiquidity_premium,selection,0.07796376104210227,0.11187550783813574,2.41406180644034,0.7083333333333334,24,0.10131428577709956,0.0030562305352602667,-0.047154475004629645
illiquidity_premium,retrospective_test,0.03080928603747263,0.1707826049126521,0.6249260431308914,0.6956521739130435,23,0.0647063795498397,0.0030562305352602667,-0.047154475004629645
roe,development,0.039629105199087376,0.11649073015436219,1.1784564071726003,0.6458333333333334,48,-0.038735009107867056,-0.017584161124995248,0.03626233537177396
roe,selection,-0.014217391297681832,0.11381931094514547,-0.43270766400159516,0.4166666666666667,24,-0.01710856223642391,-0.017584161124995248,0.03626233537177396
roe,retrospective_test,0.02204494407409213,0.18395822655590788,0.41512645453491137,0.4782608695652174,23,0.010618892986183487,-0.017584161124995248,0.03626233537177396
roa,development,0.037812005819514966,0.11268795188931686,1.1623658806012753,0.5833333333333334,48,-0.03809663466029178,-0.015114289358558748,0.031205148038573903
roa,selection,-0.008507431577617686,0.10569884237901395,-0.2788167477087774,0.4166666666666667,24,-0.008114821453509115,-0.015114289358558748,0.031205148038573903
roa,retrospective_test,0.022697716460956217,0.18003653271808298,0.4367291186142681,0.4782608695652174,23,0.013567452954653223,-0.015114289358558748,0.031205148038573903
gross_margin,development,0.023275342646551647,0.06741407166877023,1.1960136816977849,0.6458333333333334,48,-0.019550128481209603,-0.007233690958213083,0.025790897666494006
gross_margin,selection,-0.009749245978155444,0.06686679923120357,-0.5050694683699404,0.5416666666666666,24,-0.014756612251627171,-0.007233690958213083,0.025790897666494006
gross_margin,retrospective_test,0.016041651688338564,0.0903892945453501,0.6147842153494226,0.5652173913043478,23,0.021491717298576,-0.007233690958213083,0.025790897666494006
cash_conversion,development,0.016264873543826216,0.0353455355736856,1.5940676466967063,0.6666666666666666,48,0.03316383761415827,0.00020536203878154455,-0.015180740863450143
cash_conversion,selection,0.0316509764460579,0.036630747985305336,2.9931738950965427,0.7083333333333334,24,0.040177574277218804,0.00020536203878154455,-0.015180740863450143
cash_conversion,retrospective_test,0.01647023558260776,0.04979529247300171,1.1457823992969822,0.7391304347826086,23,0.005556311942842738,0.00020536203878154455,-0.015180740863450143
medium_reversal_3m,development,0.051653153346303736,0.11318611279641468,1.5808633012755675,0.6875,48,0.0980403512199966,0.0306804506723835,0.015580800752300492
medium_reversal_3m,selection,0.06675280326638675,0.1467247666516822,1.5760017813421547,0.7083333333333334,24,0.029910802322615077,0.0306804506723835,0.015580800752300492
medium_reversal_3m,retrospective_test,0.08233360401868724,0.15357435997205424,1.8571587777617726,0.7391304347826086,23,0.07651670276203731,0.0306804506723835,0.015580800752300492
medium_reversal_6m,development,0.03626139112611081,0.1378964972814208,0.9109233812570997,0.5416666666666666,48,0.07895481639008183,0.05492651873052951,0.031000945030074882
medium_reversal_6m,selection,0.060186964826565444,0.13990946274594937,1.4902048651600648,0.625,24,0.017318805853485355,0.05492651873052951,0.031000945030074882
medium_reversal_6m,retrospective_test,0.09118790985664033,0.14356075573594798,2.2003519290218216,0.8260869565217391,23,0.07408499893221954,0.05492651873052951,0.031000945030074882
return_stability_6m,development,0.06675940533906875,0.10940212345621335,2.113865403657025,0.7916666666666666,48,0.07462834759028479,0.004331554919635605,-0.007394432266861428
return_stability_6m,selection,0.07848539252556579,0.11076650621043582,2.4545450092648844,0.7083333333333334,24,0.11419565321214303,0.004331554919635605,-0.007394432266861428
return_stability_6m,retrospective_test,0.07109096025870436,0.13372196294479063,1.8416294887590519,0.6956521739130435,23,0.049600090183848776,0.004331554919635605,-0.007394432266861428
return_stability_12m,development,0.07992223164355401,0.1150329827083967,2.406776953907848,0.75,48,0.09242155854266239,-0.013540861859908979,-0.023030910706643273
return_stability_12m,selection,0.0894122804902883,0.13229254093383888,2.34127504901776,0.7916666666666666,24,0.13678924942563714,-0.013540861859908979,-0.023030910706643273
return_stability_12m,retrospective_test,0.06638136978364503,0.14524588224097443,1.5831898759172602,0.6956521739130435,23,0.055916536214200376,-0.013540861859908979,-0.023030910706643273
downside_stability_12m,development,0.04695420723615832,0.08685744918083045,1.872656250653362,0.8333333333333334,48,0.03865390679278999,-0.03218106802338477,-0.03335648680294649
downside_stability_12m,selection,0.04812962601572004,0.09140070338796298,1.8241207018871677,0.7083333333333334,24,0.07791321240005278,-0.03218106802338477,-0.03335648680294649
downside_stability_12m,retrospective_test,0.014773139212773543,0.10266495300468641,0.4984724963083329,0.4782608695652174,23,0.0039892309815476425,-0.03218106802338477,-0.03335648680294649
low_turnover,development,0.10256200220524858,0.12629729153539968,2.813086434172511,0.8333333333333334,48,0.08557161008052856,-0.03036575520326193,-0.009047230661814884
low_turnover,selection,0.08124347766380154,0.1573414996898722,1.7886931467496268,0.5416666666666666,24,0.08599623311960876,-0.03036575520326193,-0.009047230661814884
low_turnover,retrospective_test,0.07219624700198665,0.1613404425467055,1.5501081557655183,0.7391304347826086,23,0.0636931216073625,-0.03036575520326193,-0.009047230661814884
lottery_avoidance,development,0.08297356633034488,0.09443377335050149,3.043708357092361,0.8541666666666666,48,0.09684941314247152,-0.0069531223532910275,-0.0198749916214533
lottery_avoidance,selection,0.09589543559850715,0.09924322380326354,3.3472464981554055,0.8333333333333334,24,0.09350899138614797,-0.0069531223532910275,-0.0198749916214533
lottery_avoidance,retrospective_test,0.07602044397705385,0.12305462570267016,2.1400458638645645,0.6956521739130435,23,0.06561712331551967,-0.0069531223532910275,-0.0198749916214533
residual_reversal,development,0.04828538186203476,0.1071159564113286,1.5615364405048417,0.6458333333333334,48,0.04677138726719073,0.024113751078101327,0.01877029779774795
