excluded_industry,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,calculation
A01,0.09057159127611847,0.190197568029683,0.47619742047376495,-0.32426889869054987,0.9722308435153635,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C15,0.09035379901761886,0.19012494720286205,0.4752337888683906,-0.32450403233492076,0.969147681858038,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C17,0.08989112530608945,0.19008208525936587,0.4729068769602014,-0.3240612252825027,0.9626118224825164,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C18,0.08993644755873786,0.1898495116098783,0.47372493506092467,-0.32240247415796164,0.963251220218645,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C19,0.08977568641954736,0.1900462956551498,0.4723885099157662,-0.3240788261941171,0.9609840531201908,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C20,0.09015398312309464,0.18993378784640214,0.4746600599362627,-0.3232836431574929,0.9663227005856609,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C21,0.09067823122039664,0.18981350332549496,0.4777227627736278,-0.31984079164677526,0.9737420199809805,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C22,0.0896360791497075,0.1901360804998216,0.4714311924074379,-0.32462395617960416,0.9590170660473831,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C23,0.0904428683891425,0.19004378172805472,0.47590543382557365,-0.32313387910331903,0.9704080779789217,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C24,0.08984096754128079,0.19011459124346736,0.47256218974916725,-0.32443836696284234,0.9619044180287737,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C25,0.09103816235342088,0.19045976483144725,0.47799157178413865,-0.3252112540697114,0.9788500033919711,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C26,0.08812600326644904,0.1903479201892089,0.4629732921633731,-0.32900221497117643,0.9378506945506602,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C27,0.08724835495190475,0.19168506765379834,0.45516511024992135,-0.3379984252927114,0.9256408069902864,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C28,0.09003648475665993,0.1900730293073325,0.47369416421031685,-0.3243793944234884,0.9646631692506822,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C29,0.08913107210409588,0.19044744069158873,0.46800876809069364,-0.3243630295052461,0.951916169940342,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C30,0.09050212142971237,0.1901313780372118,0.4759978198443375,-0.32579018275634164,0.9712469411775235,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C31,0.09052576864765016,0.19042058381020022,0.4753990710262752,-0.32528427866257636,0.9715818089520722,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C32,0.08890215620796837,0.1897648907030144,0.46848579776067173,-0.3188224545254369,0.948704789842719,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C33,0.09098510172451113,0.1900398566385616,0.47876852431833,-0.3234531201890115,0.978096266500599,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C34,0.08922675165696892,0.18989771065483252,0.4698674425788728,-0.32172276360585894,0.953259791968621,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C35,0.08782837052309977,0.19037210807088,0.46135104250880704,-0.3256170065731968,0.9337024667874572,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C36,0.08781564361876204,0.1898003896710368,0.4626736740159736,-0.324042475538173,0.9335252596143377,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C37,0.09003020259250438,0.1901034119770919,0.47358541151988015,-0.3256799740221531,0.9645744752172016,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C38,0.0906071925356009,0.1895961375702153,0.477895772017219,-0.32050288995235554,0.9727352306212236,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C39,0.08356123581541408,0.1877738318596562,0.4450100154417069,-0.3200746101096207,0.8750755408272681,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C40,0.09048329170433211,0.18988877729337925,0.476506789890668,-0.32365123104498206,0.9709803293020263,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C41,0.08924440640116482,0.19027769032871739,0.469021913430782,-0.3242771622293694,0.9535078045992216,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C42,0.09065554202079107,0.189412266645737,0.47861494731144655,-0.3230353310350972,0.9734204106375841,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
