refit_month,target_type,target_horizon_months,ridge_alpha,history_start,history_end,maximum_training_realization_month,history_samples,validation_ic,alpha_intercept,alpha_beta,alpha_beta_t_stat,alpha_calibration_samples,signal_failure
2019-01-31,residual_1m,1,10.0,2014-08-31,2018-11-30,2018-12-31,108397,0.06571808556130214,0.00039383560374329276,0.07554282660112464,7.869431969081502,27872,False
2019-04-30,residual_1m,1,10.0,2014-08-31,2019-02-28,2019-03-31,116643,0.07056920477039896,-0.0008049192044613812,0.0869407021607969,8.323435593267499,29034,False
2019-07-31,residual_1m,1,10.0,2014-08-31,2019-05-31,2019-06-30,124890,0.05997266265574644,-0.0010659840259212257,0.06895754160187581,6.440926763248429,29795,False
2019-10-31,residual_1m,1,10.0,2014-08-31,2019-08-31,2019-09-30,133191,0.06373133892505244,-0.0003625578532763434,0.0710167962883228,6.0984970192617185,30205,False
2020-01-31,residual_1m,1,10.0,2014-08-31,2019-11-30,2019-12-31,141560,0.06962714081067096,-0.00025597709645250576,0.08447126938854294,6.772011980071516,30427,False
2020-04-30,residual_1m,1,10.0,2014-08-31,2020-02-29,2020-03-31,149980,0.04725222801959026,0.0010027815516722787,0.034473539345981095,2.5037821036619308,30572,False
2020-07-31,residual_1m,1,10.0,2014-08-31,2020-05-31,2020-06-30,158518,0.04355887433372175,0.0008741076054705724,0.03716564466118584,2.474773648830597,30874,False
2020-10-31,residual_1m,1,10.0,2014-08-31,2020-08-31,2020-09-30,167285,0.05852020755002262,0.0003480912349223309,0.09464832073985965,5.56857975288869,31306,False
2021-01-31,residual_1m,1,10.0,2014-08-31,2020-11-30,2020-12-31,176184,0.04166841516692309,0.000917243994592867,0.05480473856940339,3.046927003165918,31843,False
2021-04-30,residual_1m,1,10.0,2014-08-31,2021-02-28,2021-03-31,185219,0.05570163785014967,-0.0004723352039103436,0.10091082320805018,5.613369023534592,32381,False
2021-07-31,residual_1m,1,10.0,2014-08-31,2021-05-31,2021-06-30,194534,0.04423829079588082,-0.0011043773915855035,0.05526260210232562,3.1869745286047073,33143,False
2021-10-31,residual_1m,1,10.0,2014-10-31,2021-08-31,2021-09-30,200818,0.047706836337908266,-0.0014029712466739773,0.08809694576671186,4.516904140205494,33838,False
2022-01-31,residual_1m,1,10.0,2015-01-31,2021-11-30,2021-12-31,205455,0.051992016610858525,-8.414516154141027e-05,0.06824209809977695,3.41303203566609,34813,False
2022-04-30,residual_1m,1,10.0,2015-04-30,2022-02-28,2022-03-31,210411,0.04654300385002131,-0.0001155498537468162,0.04630942187163972,2.4086506917439334,36053,False
2022-07-31,residual_1m,1,10.0,2015-07-31,2022-05-31,2022-06-30,215569,0.0536406882591836,8.430247510094434e-05,0.07394825278432489,3.9174053881829347,37318,False
2022-10-31,residual_1m,1,10.0,2015-10-31,2022-08-31,2022-09-30,221324,0.052722188524774415,-3.017025861675995e-05,0.050498261126190325,3.0127797847498927,38504,False
2023-01-31,residual_1m,1,10.0,2016-01-31,2022-11-30,2022-12-31,226810,0.0381971753876293,-0.00019020660937275834,0.0374460722974478,2.254948652564196,39559,False
2023-04-30,residual_1m,1,10.0,2016-04-30,2023-02-28,2023-03-31,232304,0.03429179997508433,0.0004668352698990938,0.02211243750063411,1.4318784452276172,40490,False
2023-07-31,residual_1m,1,10.0,2016-07-31,2023-05-31,2023-06-30,238130,0.059020129247173723,-4.130601608315355e-05,0.09073658182365153,5.526459595984125,41461,False
