refit_month,feature,standardized_coefficient
2020-01-31,low_volatility,0.0029665083234158437
2020-01-31,large_cap_stability,-0.0021766851057810985
2020-01-31,short_reversal,0.01592315199737192
2020-01-31,illiquidity_premium,0.013672718960925312
2020-01-31,roe,0.0019003793329175715
2020-01-31,roa,0.0027709812618559467
2020-01-31,gross_margin,0.006405027661417067
2020-01-31,cash_conversion,0.003404030224586738
2020-01-31,medium_reversal_3m,0.005671239673699644
2020-01-31,medium_reversal_6m,-0.0013045936923487562
2020-01-31,return_stability_6m,0.0003125819593486271
2020-01-31,return_stability_12m,0.00693117639969827
2020-01-31,downside_stability_12m,-0.0009323568302021534
2020-01-31,low_turnover,0.014289095217246474
2020-01-31,lottery_avoidance,0.004949273152936396
2020-01-31,residual_reversal,-0.0018909351348761446
2020-01-31,profitability_momentum,0.00449211405967679
2020-01-31,value_composite,0.005215252039688219
2020-01-31,quality_composite,0.0014743296343467005
2020-01-31,long_term_reversal_12_1_missing,0.004201988623513137
2020-01-31,earnings_yield_missing,-0.0018354899600815195
2020-01-31,book_to_market_missing,0.000439896426350091
2020-01-31,sales_to_price_missing,-0.002660798982523115
2020-01-31,low_volatility_missing,0.0
2020-01-31,large_cap_stability_missing,0.0
2020-01-31,short_reversal_missing,0.0
2020-01-31,illiquidity_premium_missing,0.0
2020-01-31,roe_missing,-0.003260358565227733
2020-01-31,roa_missing,-0.002497281190832514
2020-01-31,gross_margin_missing,0.0028620581750077308
2020-01-31,cash_conversion_missing,-0.0001755997738850881
2020-01-31,medium_reversal_3m_missing,0.0
2020-01-31,medium_reversal_6m_missing,0.0
2020-01-31,return_stability_6m_missing,0.0
2020-01-31,return_stability_12m_missing,0.0
2020-01-31,downside_stability_12m_missing,0.0013478933057700536
2020-01-31,low_turnover_missing,0.0
2020-01-31,lottery_avoidance_missing,0.0
2020-01-31,residual_reversal_missing,0.0
2020-01-31,profitability_momentum_missing,-0.0033246943100613256
2020-01-31,value_composite_missing,0.00038007358916987817
2020-01-31,quality_composite_missing,0.0008904834028230359
2020-04-30,long_term_reversal_12_1,-0.005333767442656685
2020-04-30,earnings_yield,0.006732338118613156
2020-04-30,book_to_market,0.0040319713729788575
2020-04-30,sales_to_price,0.0056115951827057165
2020-04-30,low_volatility,0.0010830155656008137
2020-04-30,large_cap_stability,-0.0035766710493410183
2020-04-30,short_reversal,0.026579198153342715
2020-04-30,illiquidity_premium,0.01270364788326593
2020-04-30,roe,0.006621821832081229
2020-04-30,roa,0.01018501620166044
2020-04-30,gross_margin,0.012940771251468306
2020-04-30,cash_conversion,0.008285716565530345
2020-04-30,medium_reversal_3m,0.005293543046752031
2020-04-30,medium_reversal_6m,-0.0017924447723396122
2020-04-30,return_stability_6m,-0.0005501653934062396
2020-04-30,return_stability_12m,0.008612561765459865
2020-04-30,downside_stability_12m,-0.001543967568453824
2020-04-30,low_turnover,0.017467606839682834
2020-04-30,lottery_avoidance,0.005095615623157035
2020-04-30,residual_reversal,-0.011817099585415177
2020-04-30,profitability_momentum,0.005043486097074632
2020-04-30,value_composite,0.0029278623785679255
2020-04-30,quality_composite,-0.01387976396851447
2020-04-30,long_term_reversal_12_1_missing,0.004798160143390393
2020-04-30,earnings_yield_missing,-0.0031849018296793733
2020-04-30,book_to_market_missing,-0.0001366784575874558
2020-04-30,sales_to_price_missing,-0.0030610025447644616
2020-04-30,low_volatility_missing,0.0
2020-04-30,large_cap_stability_missing,0.0
2020-04-30,short_reversal_missing,0.0
2020-04-30,illiquidity_premium_missing,0.0
2020-04-30,roe_missing,-0.00494050066773759
2020-04-30,roa_missing,-0.004842547400889988
2020-04-30,gross_margin_missing,0.0028363359789493744
2020-04-30,cash_conversion_missing,1.6130920272343356e-05
2020-04-30,medium_reversal_3m_missing,0.0
2020-04-30,medium_reversal_6m_missing,0.0
2020-04-30,return_stability_6m_missing,0.0
2020-04-30,return_stability_12m_missing,0.0
2020-04-30,downside_stability_12m_missing,0.001372018264329817
2020-04-30,low_turnover_missing,0.0
2020-04-30,lottery_avoidance_missing,0.0
2020-04-30,residual_reversal_missing,0.0
2020-04-30,profitability_momentum_missing,-0.003844028135789587
2020-04-30,value_composite_missing,0.0006410791565951224
2020-04-30,quality_composite_missing,0.005380254197388358
2020-07-31,long_term_reversal_12_1,-0.005662055693874925
2020-07-31,earnings_yield,0.007119472835781788
2020-07-31,book_to_market,0.004697009539985609
2020-07-31,sales_to_price,0.006740187404233344
2020-07-31,low_volatility,0.001361721868811587
2020-07-31,large_cap_stability,-0.0031403187905109167
2020-07-31,short_reversal,0.027224248511317804
2020-07-31,illiquidity_premium,0.012312829194025656
2020-07-31,roe,0.008983247516301699
2020-07-31,roa,0.010354781916767303
2020-07-31,gross_margin,0.01495313948154328
2020-07-31,cash_conversion,0.00916475146747788
2020-07-31,medium_reversal_3m,0.006024017346436275
2020-07-31,medium_reversal_6m,-0.0018001608242128896
2020-07-31,return_stability_6m,-0.0008209963237947557
2020-07-31,return_stability_12m,0.007224639178687458
2020-07-31,downside_stability_12m,-0.0010235276534112238
2020-07-31,low_turnover,0.01730013151769501
2020-07-31,lottery_avoidance,0.00522862229448506
2020-07-31,residual_reversal,-0.01327022329732965
2020-07-31,profitability_momentum,0.005274924361126582
2020-07-31,value_composite,-0.00042001005132272706
2020-07-31,quality_composite,-0.01604230246175128
2020-07-31,long_term_reversal_12_1_missing,0.0050847360094443865
2020-07-31,earnings_yield_missing,-0.003287839826778942
2020-07-31,book_to_market_missing,-0.0006207732420650593
2020-07-31,sales_to_price_missing,-0.0035041050874471285
2020-07-31,low_volatility_missing,0.0
2020-07-31,large_cap_stability_missing,0.0
2020-07-31,short_reversal_missing,0.0
2020-07-31,illiquidity_premium_missing,0.0
2020-07-31,roe_missing,-0.005693190358074698
2020-07-31,roa_missing,-0.006972160850490518
2020-07-31,gross_margin_missing,0.0033912514855985103
2020-07-31,cash_conversion_missing,-0.00016907210168089462
