target_type,portfolio_type,lambda_risk,lambda_turnover,uses_retrospective_test,development_50bps_annual_return,development_50bps_sharpe,selection_50bps_annual_return,selection_50bps_sharpe,selection_20bps_sharpe,selection_100bps_sharpe,selection_average_turnover,quarterly_selection_turnover,selection_mean_rank_ic,selection_mean_target_rank_ic,selection_decile_monotonicity,selection_average_invested_weight,selection_max_unresolved_weight,rank_ic_drop_vs_original_ridge,passes_constraints,selection_objective,selected,selection_status
fixed_combined,cost_aware,0.5,1.0,False,-0.0147410332484091,-0.0682030441959298,-0.0214505280676124,-0.1152204593566861,-0.0673611459524382,-0.1941875748281056,0.249498531089592,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0008089257665537,0.056097475622744,False,-0.1912357009682701,False,not_selected
fixed_combined,cost_aware,1.0,1.0,False,-0.0127896764934201,-0.0587830578691898,-0.0223611545949458,-0.1194826323079278,-0.0714370911216236,-0.1987476781090046,0.2519914049446712,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0008191887237553,0.056097475622744,False,-0.1942370951179337,False,not_selected
fixed_combined,cost_aware,2.0,2.0,False,-0.0145110265888968,-0.0667837876325209,-0.028209459799971,-0.14901833233991,-0.1206478607898765,-0.1960045515705976,0.1516631333185254,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0026205071162186,0.056097475622744,False,-0.2002908731960455,False,not_selected
original_1m,equal_weight,1.0,1.0,False,0.0691912160817589,0.3371686465370068,-0.025677077788856,-0.1330521808535474,-0.0308238198676953,-0.2999938720756565,0.5547051747505662,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0025188916876574,0.0,False,-0.2042947452337876,False,not_selected
fixed_combined,cost_aware,2.0,1.0,False,-0.0115511246487495,-0.05246836385805,-0.0280857865071713,-0.1457032150895715,-0.0983337357971641,-0.2238291963506276,0.2571341487773182,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0008695859934394,0.056097475622744,False,-0.2204804250555111,False,not_selected
fixed_combined,score_weight,1.0,1.0,False,-0.0132387064406053,-0.0608376725008769,-0.0130799780180361,-0.0671294160991727,0.0382324674378441,-0.239033450668121,0.5725739822298324,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0,0.056097475622744,False,-0.2224404461568062,False,not_selected
residual_3m,equal_weight,1.0,1.0,False,0.0122706465543158,0.0576564024277207,-0.0262083661011585,-0.130832112945552,-0.0564802090692725,-0.2528326694015312,0.4210391152566239,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0,0.0463766756503018,False,-0.2245606112741638,False,not_selected
fixed_combined,cost_aware,0.5,0.5,False,-0.0162391571527609,-0.0750666652771534,-0.0223942265570742,-0.1205319915206089,-0.0524439465358191,-0.2324897153662611,0.3566461308680669,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0,0.056097475622744,False,-0.2247068572930563,False,not_selected
fixed_combined,cost_aware,1.0,0.5,False,-0.0160067019805216,-0.0735498054785885,-0.0251886416825583,-0.1338669486990661,-0.0662101122638029,-0.2450966594707044,0.3597510707631904,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0,0.056097475622744,False,-0.2385146774855814,False,not_selected
fixed_combined,cost_aware,2.0,0.5,False,-0.0148184857261204,-0.0673158131842442,-0.028139294826292,-0.1451810559654427,-0.0784789362339491,-0.254796070050088,0.3662218770262027,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0,0.056097475622744,False,-0.2501996878588423,False,not_selected
residual_1m,cost_aware,1.0,2.0,False,-0.0366813673221314,-0.1688153426056954,-0.0473065266326774,-0.237464240158061,-0.2064740877401819,-0.288742774703247,0.1784192160442026,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.3158321126902508,False,not_selected
residual_1m,cost_aware,0.5,2.0,False,-0.0378020683896483,-0.1742845002735215,-0.0481091074884352,-0.2435135007208145,-0.2125638883942948,-0.294725951885383,0.1768471577809255,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.3225821902207502,False,not_selected
fixed_combined,equal_weight,1.0,1.0,False,-0.0114524535577789,-0.0524150473385683,-0.0453745253180942,-0.2199646907806535,-0.1357606636809391,-0.3576345105738386,0.4986952296285751,0.1469682583506449,0.0850518760719604,0.0801659453438252,0.8787878787878788,1.0,0.0,0.056097475622744,False,-0.355121507655511,False,not_selected
residual_1m,cost_aware,2.0,2.0,False,-0.0316741223439032,-0.1432273110870967,-0.0603321625465556,-0.2936017102805857,-0.263500460647914,-0.3433944439583677,0.180946422789709,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.3674837781954323,False,not_selected
residual_1m,cost_aware,0.5,1.0,False,-0.0435794076901827,-0.1997577801546307,-0.0555587883481967,-0.2684402144363331,-0.2156324126142859,-0.355310501000752,0.3176252905421322,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.3877980931027923,False,not_selected
residual_1m,cost_aware,1.0,1.0,False,-0.0407141009033615,-0.1851338205838068,-0.0599562795671195,-0.2882744492775582,-0.2355392224735715,-0.3750157289523991,0.3200417200118481,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.4053116433972816,False,not_selected
residual_1m,cost_aware,2.0,1.0,False,-0.0382011735632163,-0.1721336625323991,-0.0687859963904231,-0.3229005298464641,-0.2709610186181185,-0.4083021354520788,0.3255401777491244,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.4387123067902251,False,not_selected
residual_1m,cost_aware,0.5,0.5,False,-0.0486284190474248,-0.2213809896303002,-0.0600149671255896,-0.2827841481330936,-0.2083219423808021,-0.4045271018477363,0.4601555758458241,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.4420992400206097,False,not_selected
residual_1m,cost_aware,1.0,0.5,False,-0.0489929705024162,-0.2222106958555702,-0.0644606178060859,-0.2998021814131604,-0.2261189210409124,-0.4202522684549834,0.4632224845390273,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.4600499417190313,False,not_selected
residual_1m,cost_aware,2.0,0.5,False,-0.0471881644722927,-0.2114361515143156,-0.0704922817979699,-0.3198531026586764,-0.2474609087684283,-0.4381302482054536,0.4691392335909725,0.1469682583506449,0.0663234891921713,0.0695776672282886,0.5151515151515151,1.0,0.0,0.0748258625025331,False,-0.4794251413592827,False,not_selected
