refit_month,target_type,feature,standardized_coefficient
2019-01-31,original_1m,return_stability_12m,0.008045999022922697
2019-01-31,original_1m,downside_stability_12m,-0.0006949089656596919
2019-01-31,original_1m,low_turnover,0.017827484217425565
2019-01-31,original_1m,lottery_avoidance,0.007102894263901526
2019-01-31,original_1m,residual_reversal,-0.016573270386230583
2019-01-31,original_1m,profitability_momentum,0.004943428769467778
2019-01-31,original_1m,value_composite,0.0032605093056645375
2019-01-31,original_1m,quality_composite,-0.006204281562903239
2019-01-31,original_1m,long_term_reversal_12_1_missing,0.005598940563608566
2019-01-31,original_1m,earnings_yield_missing,-0.003387243337004842
2019-01-31,original_1m,book_to_market_missing,0.00106514828402602
2019-01-31,original_1m,sales_to_price_missing,-0.0024483419883069677
2019-01-31,original_1m,low_volatility_missing,0.0
2019-01-31,original_1m,large_cap_stability_missing,0.0
2019-01-31,original_1m,short_reversal_missing,0.0
2019-01-31,original_1m,illiquidity_premium_missing,0.0
2019-01-31,original_1m,roe_missing,-0.0005614747801389354
2019-01-31,original_1m,roa_missing,-0.003981244074959001
2019-01-31,original_1m,gross_margin_missing,0.003487810389920951
2019-01-31,original_1m,cash_conversion_missing,0.002002762798462788
2019-01-31,original_1m,medium_reversal_3m_missing,0.0
2019-01-31,original_1m,medium_reversal_6m_missing,0.0
2019-01-31,original_1m,return_stability_6m_missing,0.0
2019-01-31,original_1m,return_stability_12m_missing,0.0
2019-01-31,original_1m,downside_stability_12m_missing,0.0005420265437912888
2019-01-31,original_1m,low_turnover_missing,0.0
2019-01-31,original_1m,lottery_avoidance_missing,0.0
2019-01-31,original_1m,residual_reversal_missing,0.0
2019-01-31,original_1m,profitability_momentum_missing,-0.002802076031871697
2019-01-31,original_1m,value_composite_missing,-0.00038672625880011025
2019-01-31,original_1m,quality_composite_missing,-0.0007422552468330214
2019-04-30,original_1m,long_term_reversal_12_1,-0.003671413669733226
2019-04-30,original_1m,earnings_yield,0.009558123208031451
2019-04-30,original_1m,book_to_market,0.007518770718660726
2019-04-30,original_1m,sales_to_price,0.006133149354814095
2019-04-30,original_1m,low_volatility,0.001303349603896125
2019-04-30,original_1m,large_cap_stability,-0.002170895718035715
2019-04-30,original_1m,short_reversal,0.024271708502488762
2019-04-30,original_1m,illiquidity_premium,0.01771421398471174
2019-04-30,original_1m,roe,0.0030812856053430795
2019-04-30,original_1m,roa,0.004897989195128919
2019-04-30,original_1m,gross_margin,0.010149716106145772
2019-04-30,original_1m,cash_conversion,0.005759034300567937
2019-04-30,original_1m,medium_reversal_3m,0.009221964512061663
2019-04-30,original_1m,medium_reversal_6m,-0.0016753456553180856
2019-04-30,original_1m,return_stability_6m,-0.0018390137603336416
2019-04-30,original_1m,return_stability_12m,0.006696836566739669
2019-04-30,original_1m,downside_stability_12m,-0.00035070292431380756
2019-04-30,original_1m,low_turnover,0.014532067652873036
2019-04-30,original_1m,lottery_avoidance,0.005203807551270991
2019-04-30,original_1m,residual_reversal,-0.010774324881280105
2019-04-30,original_1m,profitability_momentum,0.004904548438303389
2019-04-30,original_1m,value_composite,0.003012751941591535
2019-04-30,original_1m,quality_composite,-0.007668913740641864
2019-04-30,original_1m,long_term_reversal_12_1_missing,0.005691644537517988
2019-04-30,original_1m,earnings_yield_missing,-0.0019274739061448966
2019-04-30,original_1m,book_to_market_missing,0.00041660645413445175
2019-04-30,original_1m,sales_to_price_missing,-0.0029260167652232112
2019-04-30,original_1m,low_volatility_missing,0.0
2019-04-30,original_1m,large_cap_stability_missing,0.0
2019-04-30,original_1m,short_reversal_missing,0.0
2019-04-30,original_1m,illiquidity_premium_missing,0.0
2019-04-30,original_1m,roe_missing,1.8238473456502076e-05
2019-04-30,original_1m,roa_missing,-0.0035165940070282227
2019-04-30,original_1m,gross_margin_missing,0.003220939337307967
2019-04-30,original_1m,cash_conversion_missing,0.0012616842016453444
2019-04-30,original_1m,medium_reversal_3m_missing,0.0
2019-04-30,original_1m,medium_reversal_6m_missing,0.0
2019-04-30,original_1m,return_stability_6m_missing,0.0
2019-04-30,original_1m,return_stability_12m_missing,0.0
2019-04-30,original_1m,downside_stability_12m_missing,0.0009180563434086016
2019-04-30,original_1m,low_turnover_missing,0.0
2019-04-30,original_1m,lottery_avoidance_missing,0.0
2019-04-30,original_1m,residual_reversal_missing,0.0
2019-04-30,original_1m,profitability_momentum_missing,-0.004034410290604857
2019-04-30,original_1m,value_composite_missing,3.4871356735609875e-05
2019-04-30,original_1m,quality_composite_missing,-0.0019505197806688646
2019-07-31,original_1m,long_term_reversal_12_1,-0.004851876871616219
2019-07-31,original_1m,earnings_yield,0.008526142262552147
2019-07-31,original_1m,book_to_market,0.007163822989906783
2019-07-31,original_1m,sales_to_price,0.0064768926811219945
2019-07-31,original_1m,low_volatility,0.002634376208984857
2019-07-31,original_1m,large_cap_stability,-0.0038467504666449804
2019-07-31,original_1m,short_reversal,0.026335146590978284
2019-07-31,original_1m,illiquidity_premium,0.01699644970060479
2019-07-31,original_1m,roe,0.0046361322731506985
2019-07-31,original_1m,roa,0.005848715203246974
2019-07-31,original_1m,gross_margin,0.010897028870802803
2019-07-31,original_1m,cash_conversion,0.006356770325088763
2019-07-31,original_1m,medium_reversal_3m,0.008465347152204076
2019-07-31,original_1m,medium_reversal_6m,-0.0017641994863974648
2019-07-31,original_1m,return_stability_6m,-0.001507258674801301
2019-07-31,original_1m,return_stability_12m,0.007596358010288554
2019-07-31,original_1m,downside_stability_12m,-0.0006141144233972933
2019-07-31,original_1m,low_turnover,0.016097511369775167
2019-07-31,original_1m,lottery_avoidance,0.00476901866061234
2019-07-31,original_1m,residual_reversal,-0.011143726837577785
2019-07-31,original_1m,profitability_momentum,0.005386612318094292
2019-07-31,original_1m,value_composite,0.0024732351420667493
2019-07-31,original_1m,quality_composite,-0.009448608933503196
2019-07-31,original_1m,long_term_reversal_12_1_missing,0.005623174979147826
2019-07-31,original_1m,earnings_yield_missing,-0.001539198280071894
2019-07-31,original_1m,book_to_market_missing,-0.0001009506517628677
2019-07-31,original_1m,sales_to_price_missing,-0.002972772027067148
2019-07-31,original_1m,low_volatility_missing,0.0
2019-07-31,original_1m,large_cap_stability_missing,0.0
2019-07-31,original_1m,short_reversal_missing,0.0
2019-07-31,original_1m,illiquidity_premium_missing,0.0
2019-07-31,original_1m,roe_missing,-0.0007945674313093229
2019-07-31,original_1m,roa_missing,-0.0027436676639162874
2019-07-31,original_1m,gross_margin_missing,0.002984858557647056
2019-07-31,original_1m,cash_conversion_missing,0.001069291308943068
2019-07-31,original_1m,medium_reversal_3m_missing,0.0
2019-07-31,original_1m,medium_reversal_6m_missing,0.0
2019-07-31,original_1m,return_stability_6m_missing,0.0
2019-07-31,original_1m,return_stability_12m_missing,0.0
2019-07-31,original_1m,downside_stability_12m_missing,0.0010029923502136906
2019-07-31,original_1m,low_turnover_missing,0.0
2019-07-31,original_1m,lottery_avoidance_missing,0.0
2019-07-31,original_1m,residual_reversal_missing,0.0
2019-07-31,original_1m,profitability_momentum_missing,-0.0038343477175128986
2019-07-31,original_1m,value_composite_missing,0.00036406652369681017
2019-07-31,original_1m,quality_composite_missing,-0.0019177158527457258
2019-10-31,original_1m,long_term_reversal_12_1,-0.004491081858172194
2019-10-31,original_1m,earnings_yield,0.00789722054099621
2019-10-31,original_1m,book_to_market,0.004404068954154597
2019-10-31,original_1m,sales_to_price,0.005390657888281283
2019-10-31,original_1m,low_volatility,0.002794647429277045
2019-10-31,original_1m,large_cap_stability,-0.004759275407178323
2019-10-31,original_1m,short_reversal,0.026831957254105043
2019-10-31,original_1m,illiquidity_premium,0.015155594140917392
2019-10-31,original_1m,roe,0.0054131125315898775
2019-10-31,original_1m,roa,0.007989295123049354
2019-10-31,original_1m,gross_margin,0.011692989511058094
2019-10-31,original_1m,cash_conversion,0.007394203150329669
2019-10-31,original_1m,medium_reversal_3m,0.006867922013415291
2019-10-31,original_1m,medium_reversal_6m,-0.001460088430059634
2019-10-31,original_1m,return_stability_6m,-0.00046780123132408104
2019-10-31,original_1m,return_stability_12m,0.007508598721512236
2019-10-31,original_1m,downside_stability_12m,-0.0012884661519825679
2019-10-31,original_1m,low_turnover,0.016889111833573552
2019-10-31,original_1m,lottery_avoidance,0.005312075561660651
2019-10-31,original_1m,residual_reversal,-0.012172077287209206
2019-10-31,original_1m,profitability_momentum,0.005291128708253172
2019-10-31,original_1m,value_composite,0.00405041706147351
2019-10-31,original_1m,quality_composite,-0.011872108838063439
2019-10-31,original_1m,long_term_reversal_12_1_missing,0.0052982025643745325
2019-10-31,original_1m,earnings_yield_missing,-0.0024901856879667662
2019-10-31,original_1m,book_to_market_missing,0.0005052820235410009
