signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return
2021-12-31,2022-01-31,-0.07682973531179861,0.2732558139534889,344,0.75,0.2,-0.07737624693970559
2022-01-31,2022-02-28,0.043082171996411234,0.3381088825214925,349,0.75,0.2,0.04240595423136825
2022-02-28,2022-03-31,-0.04716213893812661,0.27478753541076995,353,0.75,0.2,-0.04771171400894815
2022-03-31,2022-04-30,-0.10554370011213608,0.29691876750700746,357,0.75,0.2,-0.1061375376471501
2022-04-30,2022-05-31,0.08827096777108598,0.29131652661064594,356,0.75,0.2,0.08768833471786469
2022-05-31,2022-06-30,0.0646429398053045,0.28291316526610877,357,0.75,0.2,0.06407711347477228
2022-06-30,2022-07-31,0.011259312258357074,0.2349726775956288,366,0.75,0.2,0.010789366903165816
2022-07-31,2022-08-31,-0.008658043288700588,0.3306010928961752,366,0.75,0.2,-0.009319245474492938
2022-08-31,2022-09-30,-0.06812413443696169,0.3825136612021866,365,0.75,0.2,-0.06888916175936606
2022-09-30,2022-10-31,0.025842135198287725,0.32880434782608803,368,0.75,0.2,0.02518452650263555
2022-10-31,2022-11-30,0.0881596227927454,0.3908355795148336,371,0.75,0.2,0.08737795163371574
2022-11-30,2022-12-31,-0.02569735342998285,0.3244680851063879,376,0.75,0.2,-0.026346289600195628
2022-12-31,2023-01-31,0.0680591324751695,0.27968337730871223,379,0.75,0.2,0.06749976572055207
2023-01-31,2023-02-28,0.04418223940865252,0.34203655352480766,383,0.75,0.2,0.04349816630160291
2023-02-28,2023-03-31,-0.0030204125783393617,0.3582474226804181,388,0.75,0.2,-0.003736907423700198
2023-03-31,2023-04-30,0.0001906239408993636,0.36479591836734854,392,0.75,0.2,-0.0005389678958353334
2023-04-30,2023-05-31,0.006884301152316436,0.36641221374045874,393,0.75,0.2,0.006151476724835519
2023-05-31,2023-06-30,0.013282969079284923,0.3536895674300263,392,0.75,0.2,0.01257558994442487
2023-06-30,2023-07-31,0.03864580812770297,0.3249370277078097,397,0.75,0.2,0.03799593407228735
2023-07-31,2023-08-31,-0.03623869442066151,0.42462311557789034,398,0.75,0.2,-0.03708794065181729
2023-08-31,2023-09-30,0.004167033123379652,0.3618090452261294,398,0.75,0.2,0.003443415032927393
2023-09-30,2023-10-31,-0.00316903811596154,0.2718204488778059,401,0.75,0.2,-0.003712679013717152
2023-10-31,2023-11-30,0.04028303588880348,0.33415841584158723,404,0.75,0.2,0.0396147190571203
2023-11-30,2023-12-31,-0.013853578354134194,0.32186732186732486,407,0.75,0.2,-0.014497312997868845
2023-12-31,2024-01-31,-0.13333315024259798,0.3236009732360117,411,0.75,0.2,-0.13398035218907
2024-01-31,2024-02-29,0.04300450743528344,0.4067796610169545,413,0.75,0.2,0.04219094811324953
2024-02-29,2024-03-31,0.06492283354465803,0.26139088729017346,417,0.75,0.2,0.06440005177007768
2024-03-31,2024-04-30,0.004785504275959498,0.33971291866028713,418,0.75,0.2,0.004106078438638924
2024-04-30,2024-05-31,-0.01174902481904197,0.3708133971291854,418,0.75,0.2,-0.012490651613300341
2024-05-31,2024-06-30,-0.07201397966775158,0.3086124401913951,414,0.75,0.2,-0.07263120454813438
2024-06-30,2024-07-31,0.00935185916553646,0.26076555023924103,418,0.75,0.2,0.008830328065057978
2024-07-31,2024-08-31,-0.028996324002625726,0.3038277511961722,418,0.75,0.2,-0.02960397950501807
2024-08-31,2024-09-30,0.21049589209182176,0.27033492822966615,416,0.75,0.2,0.20995522223536242
2024-09-30,2024-10-31,0.02071921690206096,0.24700239808153554,417,0.75,0.2,0.020225212105897887
2024-10-31,2024-11-30,0.0496360254124835,0.2805755395683447,417,0.75,0.2,0.04907487433334681
2024-11-30,2024-12-31,-0.011715489323349218,0.2918660287081342,418,0.75,0.2,-0.012299221380765486
2024-12-31,2025-01-31,-0.012818825726449549,0.26252983293557075,419,0.75,0.2,-0.01334388539232069
2025-01-31,2025-02-28,0.04995861386727363,0.2458233890214792,419,0.75,0.2,0.049466967089230665
2025-02-28,2025-03-31,0.01647587090971407,0.29761904761905206,420,0.75,0.2,0.015880632814475968
2025-03-31,2025-04-30,-0.03066805887930923,0.31666666666667087,419,0.75,0.2,-0.031301392212642574
2025-04-30,2025-05-31,0.0487747693962542,0.3794749403341383,416,0.75,0.2,0.04801581951558592
2025-05-31,2025-06-30,0.0592966247002759,0.3725961538461608,413,0.75,0.2,0.05855143239258358
2025-06-30,2025-07-31,0.0661759285067873,0.336515513126492,419,0.75,0.2,0.06550289748053431
2025-07-31,2025-08-31,0.06710394158025093,0.43735224586289234,423,0.75,0.2,0.06622923708852514
2025-08-31,2025-09-30,-0.0023232946689875364,0.368794326241137,422,0.75,0.2,-0.0030608833214698103
2025-09-30,2025-10-31,0.02250601988200337,0.335697399527189,423,0.75,0.2,0.02183462508294899
2025-10-31,2025-11-30,-0.00401036316668986,0.3971631205673777,422,0.75,0.2,-0.004804689407824615
2025-11-30,2025-12-31,0.011047236834047697,0.3554502369668244,422,0.75,0.2,0.010336336360114048
