signal_month,realization_month,period,long_short_gross_return,long_short_turnover,long_short_net_return_20bps,long_short_proxy_net_return,explicit_cost,impact_proxy_cost,net_return,net_return_0bps,net_return_20bps,net_return_50bps,net_return_100bps
2020-05-31,2020-06-30,development,-0.0285018741967442,0.2662907031908579,-0.029034455603126,-0.0301879103274287,0.0005325814063817158,0.0011534547243026994,-0.030187910327428617,-0.0285018741967442,-0.029034455603125918,-0.02983332771269849,-0.03116478122865278
2020-06-30,2020-07-31,development,0.0558583422194743,0.2916420303931686,0.0552750581586879,0.0539675137273047,0.0005832840607863372,0.0013075444313832008,0.05396751372730476,0.0558583422194743,0.05527505815868796,0.054400132067508454,0.05294192191554261
2020-07-31,2020-08-31,development,0.0254918536483047,0.4102796687195236,0.0246712943108657,0.0228729677156538,0.0008205593374390471,0.0017983265952119,0.022872967715653753,0.0254918536483047,0.024671294310865653,0.02344045530470708,0.021389056961109463
2020-08-31,2020-09-30,development,0.0195470088517402,0.2916491860895301,0.0189637104795612,0.0177459863568475,0.0005832983721790602,0.0012177241227137002,0.01774598635684744,0.0195470088517402,0.01896371047956114,0.01808876292129255,0.016630516990844897
2020-09-30,2020-10-31,development,0.0330144180582819,0.258269245603611,0.0324978795670746,0.0313663347549546,0.000516538491207222,0.0011315448121200014,0.03136633475495467,0.0330144180582819,0.03249787956707467,0.03172307183026384,0.030431725602245788
2020-10-31,2020-11-30,development,0.0545195712498575,0.5522115597966991,0.0534151481302641,0.0510858265341358,0.0011044231195933981,0.0023293215961283018,0.0510858265341358,0.0545195712498575,0.0534151481302641,0.051758513450874004,0.04899745565189051
2020-11-30,2020-12-31,development,-0.0138009197973177,0.209678135761727,-0.0142202760688411,-0.0150261820139988,0.000419356271523454,0.0008059059451576995,-0.015026182013998853,-0.0138009197973177,-0.014220276068841154,-0.014849310476126336,-0.01589770115493497
2020-12-31,2021-01-31,development,0.0513827511722181,0.1539348809085651,0.051074881410401,0.0503908413224407,0.0003078697618171302,0.0006840400879603026,0.05039084132244066,0.0513827511722181,0.051074881410400966,0.05061307676767527,0.04984340236313245
2021-01-31,2021-02-28,development,0.0382654382849896,0.4640790667880451,0.0373372801514135,0.0354934658643778,0.0009281581335760903,0.0018438142870357,0.03549346586437781,0.0382654382849896,0.03733728015141351,0.035945042951049375,0.03362464761710915
2021-02-28,2021-03-31,development,0.0427662265482277,0.1851024577417765,0.0423960216327442,0.0415414630579389,0.00037020491548355296,0.0008545585748053058,0.041541463057938835,0.0427662265482277,0.04239602163274414,0.04184071425951882,0.04091520197080993
