month,source_max_date,leakage_pass
2019-04-30,2019-04-29,True
2019-04-30,2019-04-26,True
2019-04-30,2019-04-22,True
2019-04-30,2019-04-15,True
2019-04-30,2019-04-25,True
2019-04-30,2019-04-19,True
2019-04-30,2019-04-18,True
2019-05-31,2019-05-31,True
2019-05-31,2019-05-27,True
2019-05-31,2019-05-17,True
2019-05-31,2019-05-24,True
2019-05-31,2019-05-21,True
2019-05-31,2019-05-22,True
2019-05-31,2019-05-30,True
2019-05-31,2019-05-29,True
2019-06-30,2019-06-28,True
2019-06-30,2019-06-24,True
2019-06-30,2019-06-20,True
2019-06-30,2019-06-17,True
2019-06-30,2019-06-18,True
2019-07-31,2019-07-31,True
2019-07-31,2019-07-29,True
2019-07-31,2019-07-22,True
2019-08-31,2019-08-30,True
2019-08-31,2019-08-16,True
2019-08-31,2019-08-23,True
2019-08-31,2019-08-28,True
2019-09-30,2019-09-30,True
2019-09-30,2019-09-27,True
2019-09-30,2019-09-26,True
2019-09-30,2019-09-20,True
2019-09-30,2019-09-17,True
2019-10-31,2019-10-31,True
2019-10-31,2019-10-25,True
2019-10-31,2019-10-23,True
2019-10-31,2019-10-30,True
2019-10-31,2019-10-29,True
2019-11-30,2019-11-29,True
2019-11-30,2019-11-27,True
2019-11-30,2019-11-18,True
2019-11-30,2019-11-28,True
2019-11-30,2019-11-22,True
2019-11-30,2019-11-26,True
2019-11-30,2019-11-21,True
2019-12-31,2019-12-31,True
2019-12-31,2019-12-13,True
2019-12-31,2019-12-18,True
2019-12-31,2019-12-27,True
2019-12-31,2019-12-19,True
2019-12-31,2019-12-30,True
2020-01-31,2020-01-23,True
2020-01-31,2020-01-20,True
2020-01-31,2020-01-21,True
2020-02-29,2020-02-28,True
2020-02-29,2020-02-26,True
2020-03-31,2020-03-31,True
2020-03-31,2020-03-30,True
2020-03-31,2020-03-20,True
2020-03-31,2020-03-19,True
2020-03-31,2020-03-23,True
2020-03-31,2020-03-27,True
2020-04-30,2020-04-30,True
2020-04-30,2020-04-27,True
2020-04-30,2020-04-29,True
2020-04-30,2020-04-28,True
2020-04-30,2020-04-21,True
2020-04-30,2020-04-24,True
2020-04-30,2020-04-20,True
2020-04-30,2020-04-23,True
2020-04-30,2020-04-22,True
2020-05-31,2020-05-29,True
2020-05-31,2020-05-22,True
2020-05-31,2020-05-26,True
2020-05-31,2020-05-27,True
2020-05-31,2020-05-28,True
2020-06-30,2020-06-30,True
2020-06-30,2020-06-23,True
2020-06-30,2020-06-29,True
2020-06-30,2020-06-12,True
2020-06-30,2020-06-22,True
2020-06-30,2020-06-18,True
2020-06-30,2020-06-24,True
2020-06-30,2020-06-19,True
2020-07-31,2020-07-31,True
2020-07-31,2020-07-24,True
2020-07-31,2020-07-28,True
2020-07-31,2020-07-27,True
2020-07-31,2020-07-23,True
2020-07-31,2020-07-17,True
2020-07-31,2020-07-14,True
2020-07-31,2020-07-20,True
2020-07-31,2020-07-29,True
2020-08-31,2020-08-31,True
2020-08-31,2020-08-26,True
2020-08-31,2020-08-24,True
2020-08-31,2020-08-25,True
2020-08-31,2020-08-27,True
2020-08-31,2020-08-20,True
2020-08-31,2020-08-21,True
2020-09-30,2020-09-30,True
2020-09-30,2020-09-25,True
2020-09-30,2020-09-15,True
2020-09-30,2020-09-18,True
2020-09-30,2020-09-29,True
2020-09-30,2020-09-22,True
2020-10-31,2020-10-30,True
2020-10-31,2020-10-23,True
2020-10-31,2020-10-28,True
2020-11-30,2020-11-30,True
2020-11-30,2020-11-27,True
2020-11-30,2020-11-23,True
2020-11-30,2020-11-26,True
2020-12-31,2020-12-31,True
2020-12-31,2020-12-16,True
2020-12-31,2020-12-23,True
2020-12-31,2020-12-17,True
2020-12-31,2020-12-29,True
2020-12-31,2020-12-28,True
2020-12-31,2020-12-18,True
2021-01-31,2021-01-29,True
2021-01-31,2021-01-22,True
2021-01-31,2021-01-28,True
2021-01-31,2021-01-15,True
2021-01-31,2021-01-19,True
2021-02-28,2021-02-26,True
2021-02-28,2021-02-25,True
2021-02-28,2021-02-24,True
2021-03-31,2021-03-31,True
2021-03-31,2021-03-30,True
2021-03-31,2021-03-17,True
2021-03-31,2021-03-26,True
2021-04-30,2021-04-30,True
2021-04-30,2021-04-29,True
2021-04-30,2021-04-28,True
2021-04-30,2021-04-23,True
2021-04-30,2021-04-22,True
2021-04-30,2021-04-21,True
2021-04-30,2021-04-26,True
2021-04-30,2021-04-27,True
2021-04-30,2021-04-19,True
2021-05-31,2021-05-31,True
2021-05-31,2021-05-24,True
2021-05-31,2021-05-28,True
2021-05-31,2021-05-27,True
2021-05-31,2021-05-21,True
2021-06-30,2021-06-30,True
2021-06-30,2021-06-15,True
2021-06-30,2021-06-18,True
2021-06-30,2021-06-29,True
2021-07-31,2021-07-30,True
2021-07-31,2021-07-22,True
2021-07-31,2021-07-23,True
2021-07-31,2021-07-19,True
2021-07-31,2021-07-14,True
2021-07-31,2021-07-26,True
2021-08-31,2021-08-31,True
2021-08-31,2021-08-30,True
2021-08-31,2021-08-27,True
2021-08-31,2021-08-20,True
2021-08-31,2021-08-13,True
2021-09-30,2021-09-30,True
2021-09-30,2021-09-24,True
2021-09-30,2021-09-15,True
2021-09-30,2021-09-17,True
2021-09-30,2021-09-27,True
2021-09-30,2021-09-29,True
2021-09-30,2021-09-23,True
2021-09-30,2021-09-28,True
2021-10-31,2021-10-29,True
2021-10-31,2021-10-22,True
2021-11-30,2021-11-30,True
2021-11-30,2021-11-25,True
2021-11-30,2021-11-23,True
2021-11-30,2021-11-19,True
2021-11-30,2021-11-24,True
2021-11-30,2021-11-26,True
2021-12-31,2021-12-31,True
2021-12-31,2021-12-27,True
2021-12-31,2021-12-17,True
2021-12-31,2021-12-28,True
2021-12-31,2021-12-30,True
2021-12-31,2021-12-20,True
2021-12-31,2021-12-23,True
2022-01-31,2022-01-28,True
2022-01-31,2022-01-21,True
2022-01-31,2022-01-24,True
2022-01-31,2022-01-19,True
2022-02-28,2022-02-28,True
2022-02-28,2022-02-21,True
2022-02-28,2022-02-25,True
2022-02-28,2022-02-18,True
2022-03-31,2022-03-31,True
2022-03-31,2022-03-25,True
2022-03-31,2022-03-30,True
2022-03-31,2022-03-29,True
2022-03-31,2022-03-28,True
2022-04-30,2022-04-29,True
2022-04-30,2022-04-27,True
2022-04-30,2022-04-25,True
2022-04-30,2022-04-28,True
2022-04-30,2022-04-19,True
2022-04-30,2022-04-18,True
2022-04-30,2022-04-26,True
2022-04-30,2022-04-21,True
2022-04-30,2022-04-22,True
2022-05-31,2022-05-31,True
2022-05-31,2022-05-23,True
2022-05-31,2022-05-20,True
2022-05-31,2022-05-26,True
2022-05-31,2022-05-27,True
2022-05-31,2022-05-19,True
2022-06-30,2022-06-30,True
2022-06-30,2022-06-24,True
2022-06-30,2022-06-27,True
2022-06-30,2022-06-28,True
2022-06-30,2022-06-16,True
2022-06-30,2022-06-22,True
2022-06-30,2022-06-21,True
2022-06-30,2022-06-29,True
2022-06-30,2022-06-15,True
2022-06-30,2022-06-23,True
2022-07-31,2022-07-29,True
2022-07-31,2022-07-22,True
2022-07-31,2022-07-18,True
2022-07-31,2022-07-28,True
2022-07-31,2022-07-26,True
2022-08-31,2022-08-31,True
2022-08-31,2022-08-30,True
2022-08-31,2022-08-25,True
2022-08-31,2022-08-19,True
2022-09-30,2022-09-30,True
2022-09-30,2022-09-16,True
2022-09-30,2022-09-29,True
2022-09-30,2022-09-23,True
2022-10-31,2022-10-31,True
2022-10-31,2022-10-28,True
2022-10-31,2022-10-24,True
2022-10-31,2022-10-26,True
2022-11-30,2022-11-30,True
2022-11-30,2022-11-29,True
2022-11-30,2022-11-18,True
2022-12-31,2022-12-30,True
2022-12-31,2022-12-16,True
2022-12-31,2022-12-19,True
2022-12-31,2022-12-29,True
2022-12-31,2022-12-23,True
2023-01-31,2023-01-31,True
2023-01-31,2023-01-30,True
2023-01-31,2023-01-18,True
2023-01-31,2023-01-20,True
2023-01-31,2023-01-16,True
2023-01-31,2023-01-17,True
2023-02-28,2023-02-28,True
2023-02-28,2023-02-27,True
2023-02-28,2023-02-17,True
2023-02-28,2023-02-22,True
2023-03-31,2023-03-31,True
2023-03-31,2023-03-21,True
2023-04-30,2023-04-28,True
2023-04-30,2023-04-25,True
2023-04-30,2023-04-24,True
2023-04-30,2023-04-27,True
2023-04-30,2023-04-26,True
2023-04-30,2023-04-17,True
2023-04-30,2023-04-19,True
2023-04-30,2023-04-21,True
2023-04-30,2023-04-20,True
2023-05-31,2023-05-31,True
2023-05-31,2023-05-25,True
2023-05-31,2023-05-26,True
2023-05-31,2023-05-29,True
2023-05-31,2023-05-23,True
2023-06-30,2023-06-30,True
2023-06-30,2023-06-14,True
2023-06-30,2023-06-29,True
2023-06-30,2023-06-26,True
2023-06-30,2023-06-21,True
2023-06-30,2023-06-20,True
2023-06-30,2023-06-19,True
2023-06-30,2023-06-27,True
2023-07-31,2023-07-31,True
2023-07-31,2023-07-17,True
2023-07-31,2023-07-28,True
2023-07-31,2023-07-25,True
2023-08-31,2023-08-31,True
2023-08-31,2023-08-30,True
2023-08-31,2023-08-25,True
2023-08-31,2023-08-28,True
2023-09-30,2023-09-28,True
2023-09-30,2023-09-27,True
2023-09-30,2023-09-26,True
2023-09-30,2023-09-15,True
2023-10-31,2023-10-31,True
2023-10-31,2023-10-27,True
2023-11-30,2023-11-30,True
2023-11-30,2023-11-29,True
2023-11-30,2023-11-27,True
2023-12-31,2023-12-29,True
2023-12-31,2023-12-25,True
2023-12-31,2023-12-20,True
2023-12-31,2023-12-28,True
2023-12-31,2023-12-22,True
2024-01-31,2024-01-31,True
2024-01-31,2024-01-29,True
2024-02-29,2024-02-29,True
2024-02-29,2024-02-23,True
2024-02-29,2024-02-22,True
2024-02-29,2024-02-27,True
2024-03-31,2024-03-29,True
2024-03-31,2024-03-25,True
2024-03-31,2024-03-28,True
2024-04-30,2024-04-30,True
2024-04-30,2024-04-29,True
2024-04-30,2024-04-16,True
2024-04-30,2024-04-25,True
2024-04-30,2024-04-22,True
2024-04-30,2024-04-24,True
2024-04-30,2024-04-17,True
2024-04-30,2024-04-26,True
2024-04-30,2024-04-18,True
2024-05-31,2024-05-31,True
2024-05-31,2024-05-17,True
2024-05-31,2024-05-28,True
2024-05-31,2024-05-24,True
2024-05-31,2024-05-30,True
2024-06-30,2024-06-28,True
2024-06-30,2024-06-21,True
2024-06-30,2024-06-27,True
2024-06-30,2024-06-19,True
2024-06-30,2024-06-26,True
2024-07-31,2024-07-31,True
2024-07-31,2024-07-17,True
2024-07-31,2024-07-19,True
2024-07-31,2024-07-26,True
2024-07-31,2024-07-18,True
2024-07-31,2024-07-24,True
2024-07-31,2024-07-30,True
2024-08-31,2024-08-30,True
2024-08-31,2024-08-14,True
2024-08-31,2024-08-27,True
2024-08-31,2024-08-21,True
2024-08-31,2024-08-26,True
2024-09-30,2024-09-30,True
2024-09-30,2024-09-13,True
2024-09-30,2024-09-27,True
2024-09-30,2024-09-25,True
2024-10-31,2024-10-31,True
2024-10-31,2024-10-28,True
2024-10-31,2024-10-29,True
2024-10-31,2024-10-25,True
2024-10-31,2024-10-24,True
2024-10-31,2024-10-30,True
2024-10-31,2024-10-22,True
2024-10-31,2024-10-21,True
2024-11-30,2024-11-29,True
2024-11-30,2024-11-26,True
2024-11-30,2024-11-22,True
2024-11-30,2024-11-20,True
2024-11-30,2024-11-25,True
2024-12-31,2024-12-31,True
2024-12-31,2024-12-27,True
2024-12-31,2024-12-26,True
2024-12-31,2024-12-20,True
2024-12-31,2024-12-17,True
2024-12-31,2024-12-23,True
2025-01-31,2025-01-27,True
2025-01-31,2025-01-23,True
2025-01-31,2025-01-24,True
2025-01-31,2025-01-16,True
2025-01-31,2025-01-15,True
2025-02-28,2025-02-28,True
2025-02-28,2025-02-19,True
2025-02-28,2025-02-24,True
2025-02-28,2025-02-20,True
2025-02-28,2025-02-27,True
2025-02-28,2025-02-21,True
2025-02-28,2025-02-26,True
2025-03-31,2025-03-31,True
2025-03-31,2025-03-18,True
2025-03-31,2025-03-14,True
2025-03-31,2025-03-28,True
2025-03-31,2025-03-27,True
2025-03-31,2025-03-24,True
2025-03-31,2025-03-21,True
2025-03-31,2025-03-26,True
2025-04-30,2025-04-30,True
2025-04-30,2025-04-28,True
2025-04-30,2025-04-15,True
2025-04-30,2025-04-25,True
2025-04-30,2025-04-18,True
2025-04-30,2025-04-29,True
2025-04-30,2025-04-17,True
2025-04-30,2025-04-22,True
2025-04-30,2025-04-24,True
2025-04-30,2025-04-23,True
2025-04-30,2025-04-21,True
2025-05-31,2025-05-30,True
2025-05-31,2025-05-27,True
2025-05-31,2025-05-23,True
2025-05-31,2025-05-26,True
