signal_month,realization_month,period,long_gross_return,short_sale_gross_return,long_turnover,short_turnover,long_net_return_20bps,short_sale_net_return_20bps,long_contribution,short_contribution,long_unresolved_weight,short_unresolved_weight,long_names,short_names,period_long_sharpe_20bps,period_short_sharpe_20bps
2018-12-31,2019-01-31,development,0.007484047962998035,0.06390812172510146,0.6740946955162961,0.6755501059339706,0.006135858571965443,0.06255702151323352,0.007484047962998035,0.06390812172510146,0.0,0.0,242,242,0.3165657469898829,0.4779224847590204
2019-01-31,2019-02-28,development,0.17751674804866405,-0.25443814976575546,0.5646942228308327,0.6087983084596862,0.1763873596030024,-0.25565574638267485,0.17751674804866405,-0.25443814976575546,0.0,0.0,241,241,0.3165657469898829,0.4779224847590204
2019-02-28,2019-03-31,development,0.0875195962096774,-0.09596747324485223,0.5920655087589488,0.5670268901999728,0.08633546519215951,-0.09710152702525218,0.0875195962096774,-0.09596747324485223,0.0,0.0,244,244,0.3165657469898829,0.4779224847590204
2019-03-31,2019-04-30,development,-0.01499617198108674,0.06307256937179517,0.6232672430723978,0.6945839703223474,-0.016242706467231537,0.061683401431150475,-0.01499617198108674,0.06307256937179517,0.0,0.0,244,244,0.3165657469898829,0.4779224847590204
2019-04-30,2019-05-31,development,-0.0370078080215956,0.07590243783101423,0.7038168825990817,0.6469995260268232,-0.038415441786793764,0.07460843877896059,-0.0370078080215956,0.07590243783101423,0.0,0.0,241,241,0.3165657469898829,0.4779224847590204
2019-05-31,2019-06-30,development,0.02161511534462691,0.047630709450051496,0.7016175183848358,0.6553046240076991,0.02021188030785724,0.0463201002020361,0.02161511534462691,0.047630709450051496,0.0,0.0,242,242,0.3165657469898829,0.4779224847590204
2019-06-30,2019-07-31,development,-0.0016406096622044411,0.06571603102241093,0.6634050003258947,0.6271664995882711,-0.0029674196628562306,0.06446169802323438,-0.0016406096622044411,0.06571603102241093,0.0,0.0,245,245,0.3165657469898829,0.4779224847590204
2019-07-31,2019-08-31,development,-0.027696663424887812,-0.011230737898418986,0.7199236517218973,0.6786992567307325,-0.029136510728331608,-0.012588136411880451,-0.027696663424887812,-0.011230737898418986,0.0,0.0,243,243,0.3165657469898829,0.4779224847590204
2019-08-31,2019-09-30,development,0.010576444697836829,0.025527019013893478,0.6906244541560991,0.5960625877716992,0.009195195789524631,0.02433489383835008,0.010576444697836829,0.025527019013893478,0.0,0.0,248,248,0.3165657469898829,0.4779224847590204
2019-09-30,2019-10-31,development,-0.004183710994106752,0.014520112934265717,0.6080021435097336,0.7273419503205503,-0.005399715281126219,0.013065429033624617,-0.004183710994106752,0.014520112934265717,0.0,0.0,246,246,0.3165657469898829,0.4779224847590204
2019-10-31,2019-11-30,development,-0.01964873930956918,0.0461037536600388,0.6339896464435507,0.7164567283899049,-0.020916718602456284,0.04467084020325899,-0.01964873930956918,0.0461037536600388,0.0,0.0,246,246,0.3165657469898829,0.4779224847590204
2019-11-30,2019-12-31,development,0.0806032038000099,-0.06667074481014555,0.7066837744298744,0.7069567050556538,0.07918983625115016,-0.06808465822025686,0.0806032038000099,-0.06667074481014555,0.0,0.0,248,248,0.3165657469898829,0.4779224847590204
2019-12-31,2020-01-31,development,-0.009276977685058944,0.00448750243550119,0.7077150767714493,0.6874400223052184,-0.010692407838601842,0.0031126223908907527,-0.009276977685058944,0.00448750243550119,0.0,0.0,247,247,0.3165657469898829,0.4779224847590204
