month,Stkcd,trade_weight,direction,average_daily_amount,position_weight_after
2018-02-28,601015,0.004149377593360996,buy,222276381.04545453,0.004149377593360996
2018-02-28,000338,0.004149377593360996,buy,798634462.1563636,0.004149377593360996
2018-02-28,002413,0.004149377593360996,buy,29877575.59363636,0.004149377593360996
2018-02-28,603228,0.004149377593360996,buy,91544225.63636364,0.004149377593360996
2018-02-28,002597,0.004149377593360996,buy,321841835.5659091,0.004149377593360996
2018-02-28,600548,0.004149377593360996,buy,25190230.181818184,0.004149377593360996
2018-02-28,000760,0.004149377593360996,buy,47760493.025,0.004149377593360996
2018-02-28,002396,0.004149377593360996,buy,211701073.6386364,0.004149377593360996
2018-02-28,600000,0.004149377593360996,buy,1515087694.6363635,0.004149377593360996
2018-02-28,600090,0.004149377593360996,buy,31751169.363636363,0.004149377593360996
2018-02-28,000065,0.004149377593360996,buy,78082896.78318182,0.004149377593360996
2018-02-28,601678,0.004149377593360996,buy,239137479.8181818,0.004149377593360996
2018-02-28,600291,0.004149377593360996,buy,618051720.2727273,0.004149377593360996
2018-02-28,601929,0.004149377593360996,buy,40863741.31818182,0.004149377593360996
2018-02-28,601908,0.004149377593360996,buy,42491743.90909091,0.004149377593360996
2018-02-28,601998,0.004149377593360996,buy,552392388.3636364,0.004149377593360996
2018-02-28,000166,0.004149377593360996,buy,216308633.62590903,0.004149377593360996
2018-02-28,000881,0.004149377593360996,buy,69534371.91227272,0.004149377593360996
2018-02-28,002232,0.004149377593360996,buy,24767558.89818182,0.004149377593360996
2018-02-28,603816,0.004149377593360996,buy,99959529.5909091,0.004149377593360996
2018-02-28,600675,0.004149377593360996,buy,57917943.13636363,0.004149377593360996
