month,gross_return,turnover,holdings,mean_prediction,cross_sectional_ic,linear_ic,long_short_gross_return,long_short_turnover,diagnostic_long_names,diagnostic_short_names,nonlinear_enabled,ridge_weight,tabm_weight,retrieval_weight,net_return,long_short_net_return,advanced_nav,long_short_nav,benchmark_return,benchmark_nav
2018-12-31,-0.03774934623227936,0.4139194139194139,273,0.07317425711832366,0.12061403449301501,0.15526480791720448,0.03400948361369064,1.2095132042106669,238,238,True,0.6,0.25,0.15,-0.03857718506011819,0.031590457205269304,0.7407949720141308,1.274901649450654,-0.0510697646572831,0.7041021298128077
2019-01-31,0.0031543023857209013,0.28832116788321166,274,0.07166742326004721,0.305611265595643,0.2893660306652343,0.08095879352244079,1.1318693731266927,242,242,True,0.6,0.25,0.15,0.002577660049954478,0.0786950547761874,0.7427044896186988,1.3752301045884248,0.0634343902762757,0.7487664191097103
2019-02-28,0.18901063266951929,0.34782608695652173,276,0.07618987869149685,-0.1816100712953136,-0.17088425356313391,-0.07483844335978249,1.1542083432563308,241,241,True,0.85,0.0,0.15,0.18831498049560624,-0.07714686004629515,0.8825668710952432,1.2691354201782898,0.1460952519600677,0.8581576377687812
2019-03-31,0.09410750364933636,0.32608695652173914,276,0.09283339138986837,0.09778827397469013,0.10368719791401165,-0.0022726893086938704,1.1505919348871623,244,244,True,0.85,0.0,0.15,0.09345532973629288,-0.004573873178468194,0.9650474490477774,1.2633305557200922,0.0553142247980269,0.9056259622564673
2019-04-30,-0.019030450642934564,0.2996389891696751,277,0.08963244922796752,0.28729991172269725,0.2879359108413306,0.034930288069369576,1.1814974632993192,244,244,True,0.85,0.0,0.15,-0.019629728621273913,0.03256729314277094,0.9461038295163169,1.3044738122644481,0.0105537873622467,0.9151837460918522
2019-05-31,-0.04670793328696658,0.3176895306859206,275,0.07249677291087783,0.10688661859100362,0.1336673634301033,0.03559354410495308,1.1023154505084531,241,241,False,1.0,0.0,0.0,-0.047343312348338426,0.03338891320393617,0.9013121404015667,1.3480287751589537,-0.0724256836798834,0.8489009375884329
2019-06-30,0.01655465991971096,0.34545454545454546,274,0.07357699129529166,0.22707400359566554,0.23538779803209522,0.06435258902016198,1.1580818145484855,242,242,False,1.0,0.0,0.0,0.01586375082880187,0.06203642539106501,0.9156103316158711,1.431655661694111,0.053942943677695,0.8946931530527082
2019-07-31,-0.004446387565778427,0.3115942028985507,276,0.07130271814367402,0.19491584551211394,0.18591717555073364,0.056136520164690826,0.9941146749912101,245,245,False,1.0,0.0,0.0,-0.005069575971575528,0.05414829081470841,0.910968575479385,1.5091773688100474,0.0025551870900053,0.8969792614469047
2019-08-31,-0.021259074429625432,0.34296028880866425,277,0.07267983909595276,-0.04715130126959609,-0.049019183234977344,-0.026586237295458864,1.2411998815120588,243,243,False,1.0,0.0,0.0,-0.02194499500724276,-0.029068637058482984,0.8909773746387348,1.465307639619232,-0.0093273995405731,0.8886127774957812
2019-09-30,0.010870363481612045,0.3129496402877698,278,0.07740984797293703,0.12480175356917014,0.12863372331876458,0.028300984991793385,1.1022689639271417,248,248,False,1.0,0.0,0.0,0.010244464201036505,0.026096447063939102,0.9001049604571547,1.5035469628689409,0.0039350796259944,0.8921095395319032
2019-10-31,0.0023700301386298294,0.2903225806451613,279,0.07695641592237343,0.1325853180996742,0.12484074957039056,0.02307995562549807,1.0585680847408656,246,246,False,1.0,0.0,0.0,0.0017893849773395068,0.020962819456016336,0.9017155947514256,1.535065546395204,0.0189332046500096,0.9090000320140866
2019-11-30,-0.024560701190502035,0.33571428571428574,280,0.07156341449800195,0.12457017767818548,0.12033426628497015,0.012196128157471137,1.0738945421499453,246,246,False,1.0,0.0,0.0,-0.025232129761930608,0.010048339073171247,0.8789633898563012,1.5504904055049258,-0.0149445854755173,0.8954154033384042
2019-12-31,0.08240107399900033,0.26785714285714285,279,0.07256566284257851,0.0518815496025142,0.057649885512145935,0.027164219428198508,1.184089066560703,248,248,False,1.0,0.0,0.0,0.08186535971328604,0.024796041295077103,0.9509200439416966,1.5889364296274469,0.0699746054192476,0.9580717428733254
2020-01-31,0.000536526092344059,0.35842293906810035,279,0.07582689307038014,0.050520522138068506,0.049156559035487976,-0.0034828935342990264,1.2198945473251028,247,247,False,1.0,0.0,0.0,-0.00018031978579214172,-0.0059226826289492315,0.9507485742430676,1.5795256634371877,-0.0226229467420688,0.9363973368592212
2020-02-29,-0.005376682726870181,0.28214285714285714,280,0.07336006017747632,-0.034083041511971925,-0.051954515220184426,-0.038554455490447906,1.1280113939287917,244,244,False,1.0,0.0,0.0,-0.005940968441155895,-0.04081047827830549,0.9451002069680156,1.5150644656594583,-0.0159480899993981,0.9214635878557936
2020-03-31,-0.026139247654470222,0.3333333333333333,285,0.07259036141497849,0.3398353770234601,0.33679855100021966,0.08187613268701542,1.067043210057916,251,251,False,1.0,0.0,0.0,-0.026805914321136888,0.07974204626689958,0.9197659317951422,1.6358788063774103,-0.0644399203126243,0.8620845476833815
2020-04-30,0.023157980314181436,0.4230769230769231,286,0.06833091150481639,0.06287642782643198,0.08732534582258579,0.014368958733228819,1.3001979549027314,247,247,False,1.0,0.0,0.0,0.02231182646802759,0.011768562823423357,0.9402875896565591,1.65513074888177,0.0614245096840591,0.9150376683310371
2020-05-31,0.014789191792288407,0.3881118881118881,285,0.06925387313843202,0.05857814511467628,0.05166936922717175,0.036769769964320645,1.2664278886318359,250,250,False,1.0,0.0,0.0,0.014012968016064631,0.034236914187056974,0.9534638095763189,1.7117973182995943,-0.0116435452487385,0.9043833858355245
2020-06-30,0.06006029108481375,0.3894736842105263,284,0.07246394136518057,0.009890137657972023,0.017797590636306926,0.010628831867433942,1.1970893485599368,251,251,False,1.0,0.0,0.0,0.059281343716392695,0.00823465317031407,1.0099864253929538,1.7258933755136652,0.0767865075136877,0.9738278274872384
2020-07-31,0.15610902535343607,0.3611111111111111,288,0.07602633106191933,0.16767435370171602,0.1668568310520807,-0.015895687624861626,1.1404430229264046,253,253,False,1.0,0.0,0.0,0.15538680313121384,-0.018176573670714437,1.166924987240687,1.694522547425843,0.1275431702087788,1.0980329158424886
2020-08-31,0.04561121843449196,0.3830508474576271,295,0.07221414987083072,0.2393757239909698,0.23227901704944115,0.0635659366253634,1.2007663877368226,264,264,False,1.0,0.0,0.0,0.0448451167395767,0.061164403849889755,1.2192558745198248,1.798167008849341,0.0258080519962837,1.1263710064281827
2020-09-30,-0.0684085464377597,0.40202702702702703,296,0.06909246231706292,0.08835317504211021,0.07563097359606254,0.011746568365237187,1.2709050143394003,259,259,False,1.0,0.0,0.0,-0.06921260049181376,0.009204758336558386,1.134868004779387,1.8147187016145714,-0.0475108390816517,1.0728561747955352
2020-10-31,-0.005492494152063429,0.4377104377104377,297,0.06786170205573445,0.0012129063042815185,-0.02287584347798856,-0.013177078862512917,1.2430541378699274,260,260,False,1.0,0.0,0.0,-0.006367915027484305,-0.015663187138252772,1.1276412617575413,1.7862944229878952,0.0235304249299712,1.0981009364772176
2020-11-30,0.03754223961811072,0.3265993265993266,296,0.07040604679459243,0.1865053114319172,0.21323913645014236,0.05745312247273484,1.047414287352368,264,264,True,0.75,0.25,0.0,0.036889040964912065,0.055358293898030105,1.1692388664562403,1.8851806346440714,0.0564220116254234,1.1600580002810237
2020-12-31,-0.039208440433770114,0.37123745819397996,299,0.07358294258032953,0.05905830562829055,0.029185155596459757,-0.04629569224177878,1.2253037597077845,266,266,True,0.75,0.25,0.0,-0.03995091535015807,-0.048746299761194344,1.1225267034783324,1.7932850543237129,0.0506071658678775,1.2187652479176037
2021-01-31,-0.058414196626751375,0.32,300,0.07408048823046495,0.13704588257273223,0.10470757477237666,0.0415319966059747,1.0502081252081252,265,265,True,0.75,0.25,0.0,-0.059054196626751376,0.03943158035555845,1.056236790812344,1.8639971180437005,0.0269947254863465,1.2516654812174384
2021-02-28,0.05338129516908129,0.30463576158940403,302,0.06169010511945819,0.1944241498428405,0.26348205496955757,0.056983712534605255,1.1581152292839598,266,266,True,0.5,0.5,0.0,0.052772023645902486,0.05466748207603733,1.111976543712765,1.9658971470841398,-0.0028401761272374,1.2481105307983975
2021-03-31,0.02696632026775342,0.305921052631579,304,0.060491347000151935,0.20303990848606743,0.24447342234362623,0.04117500120073608,0.950919073616442,271,271,True,0.5,0.5,0.0,0.02635447816249026,0.0392731630535032,1.1412821052512445,2.043104146287992,-0.0540399931943803,1.1806626462082177
2021-04-30,0.00565838555741121,0.3474025974025974,308,0.05888642353282393,0.0907702492815692,0.13625924624712288,0.03168500800348258,1.1519976065532174,270,270,True,0.5,0.5,0.0,0.004963580362606015,0.029381012790376148,1.1469469506970633,2.10313261534215,0.0148840300972239,1.1982356645690488
2021-05-31,0.03497535668579216,0.45833333333333337,312,0.06420180535610998,-0.18860369226915544,-0.18491130511485818,-0.07898474205287705,1.3384968701440898,275,275,False,1.0,0.0,0.0,0.03405869001912549,-0.08166173579316523,1.186010461359236,1.9313871553700908,0.040613577409559,1.2469003014869184
2021-06-30,0.01224023744088005,0.38658146964856227,313,0.07522505482186131,0.02671787508789199,0.025910108134328987,0.006026318470747946,1.1286996222965828,277,277,False,1.0,0.0,0.0,0.011467074501582925,0.00376891922615478,1.199610531679299,1.9386663975531133,-0.0201677497789654,1.2217531282072138
2021-07-31,-0.01226894549050263,0.3642172523961661,313,0.07465875013448207,-0.025947172061834743,-0.034562930023565926,-0.06182311014735302,1.101005338361798,275,275,False,1.0,0.0,0.0,-0.012997379995294963,-0.06402512082407662,1.1840187377527054,1.814543047212198,-0.0790336335966539,1.1251935391269192
2021-08-31,0.080541106689555,0.335423197492163,319,0.07074228262064983,0.12397002249295737,0.11571449003532748,0.01679020934966842,1.0530639681955472,282,282,False,1.0,0.0,0.0,0.07987026029457067,0.014684081413277325,1.278586622530663,1.8411879450453583,-0.0011547753417505,1.1238941933732385
2021-09-30,0.01664496052700673,0.33641975308641975,324,0.06964212055254693,0.27662192818569553,0.2713675446672854,0.08324827643869168,1.157364613651339,289,289,False,1.0,0.0,0.0,0.01597212102083389,0.080933547211389,1.299008362801342,1.9902018165207271,0.0126459484804319,1.138106901440093
2021-10-31,-0.02746542931886949,0.3951367781155015,329,0.06272055851380649,0.0408985565747816,0.06284842669431862,0.01850411549450166,1.236025390667056,298,298,False,1.0,0.0,0.0,-0.028255702875100493,0.016032064713167548,1.2623039684697566,2.022108860835451,0.008709924870347,1.1480197270460597
2021-11-30,0.07601229882221247,0.3878787878787879,330,0.06336167862565881,0.02208654951958542,0.03842316015997248,-0.00487850574019312,1.1743394628341304,295,295,False,1.0,0.0,0.0,0.07523654124645489,-0.007227184665861381,1.357275353059095,2.007494706683719,-0.0156345401564347,1.130070966523179
2021-12-31,0.0631723026818259,0.4144144144144144,333,0.07153765437089887,0.33344491468008397,0.3189707596876408,0.04759344054592618,1.188197548219064,300,300,False,1.0,0.0,0.0,0.06234347385299707,0.045217045449488055,1.4418926135438521,2.0982676860754435,0.0224207379940186,1.1554079915782427
2022-01-31,-0.06638488798184161,0.36070381231671556,341,0.06547862286970779,0.2783498520616738,0.2570107288276968,0.085360687514143,1.0789574784290823,309,309,False,1.0,0.0,0.0,-0.06710629560647505,0.08320277255728484,1.3451325415865854,2.2728493751242786,-0.0762266573219356,1.0673351025371822
2022-02-28,0.0423658863360833,0.34870317002881845,347,0.05888990238177084,0.0032737340114162034,0.014394061449634179,-0.008298999993917637,1.2395988781345553,311,311,False,1.0,0.0,0.0,0.04166847999602566,-0.010778197750186748,1.4011821699876892,2.248352155102801,0.0039171673418596,1.0715160327436613
2022-03-31,-0.03833636168653192,0.3314285714285714,350,0.06712506908003993,-0.01753731030187122,-0.010038433332543714,-0.006143604805652125,1.1028800687843265,314,314,False,1.0,0.0,0.0,-0.03899921882938907,-0.008349364943220779,1.3465371599205012,2.229579842438971,-0.0783637870391124,0.9875479785447424
2022-04-30,-0.1003031693317275,0.3361581920903955,354,0.06646821051793803,0.3279503730563974,0.31875018673553546,0.10897540912899949,1.0244031722292593,320,320,False,1.0,0.0,0.0,-0.1009754857159083,0.10692660278454097,1.2105699161630088,2.467981240627862,-0.0488695616110528,0.9392869417633795
2022-05-31,0.09257705102698291,0.31267605633802814,355,0.056543470168036784,0.03630601912855847,0.05970332699266556,0.005517991700279459,1.1502056595469474,318,318,False,1.0,0.0,0.0,0.09195169891430685,0.0032175803811855643,1.3218838766087473,2.4759221686488404,0.0187434976241884,0.9568924643247526
2022-06-30,0.054853576370479884,0.3971830985915493,355,0.06925711010138365,0.0013618467836760402,-0.0009162476600513307,-0.00011001631181899174,1.1572184843440663,318,318,False,1.0,0.0,0.0,0.05405921017329678,-0.0024244532805071245,1.3933438749190319,2.4699194110247795,0.0961729209141954,1.0489196076196468
2022-07-31,0.011579640641390864,0.29005524861878457,362,0.07197133634830147,0.06127865034686714,0.06990551088177216,0.026664156667063912,1.0960039651062212,329,329,False,1.0,0.0,0.0,0.010999530144153296,0.02447214873685147,1.408670002872375,2.530363646219415,-0.0702147612725831,0.9752699677765018
2022-08-31,-0.0056724339209866465,0.2637362637362637,364,0.06769416175923398,0.31266823833502627,0.3248363205223541,0.07478246358298299,1.0383700479268345,329,329,True,0.75,0.25,0.0,-0.006199906448459174,0.07270572348712932,1.3999363806378158,2.714335565803328,-0.0218853029141971,0.9539258891085938
2022-09-30,-0.07151651636869362,0.3131868131868132,364,0.061329290293363335,0.21110966067856968,0.20516501144276927,0.04733779486476308,1.1466210103918695,332,332,True,0.75,0.25,0.0,-0.07214288999506725,0.045044552843979346,1.2989409243293693,2.8366015976334484,-0.0671644795086368,0.8898559532768014
2022-10-31,0.00907234123101281,0.34426229508196726,366,0.05812668322411367,0.0448380149844212,0.07927092335664232,0.01253461409221674,1.0350291408893217,331,331,True,0.75,0.25,0.0,0.008383816640848876,0.010464555810438097,1.3098310068662415,2.8662853733638616,-0.0778435034215307,0.8205864483332294
2022-11-30,0.0875051615516621,0.3604336043360434,369,0.06534642298841517,0.1837061292058741,0.19791857085325867,0.01104456681209691,1.2614484503940433,334,334,False,1.0,0.0,0.0,0.08678429434299001,0.008521669911308823,1.4235037665056964,2.890710911187281,0.0981376100251238,0.9011168411916572
2022-12-31,-0.023752992720350738,0.37866666666666665,375,0.07339298427172895,0.17531612882446224,0.17568413124362295,0.022973075792182746,1.2501415978034984,341,341,False,1.0,0.0,0.0,-0.02451032605368407,0.020472792596575747,1.3886132250499945,2.949891836128677,0.0048267645667119,0.9054663200311885
2023-01-31,0.05872624795639412,0.2830687830687831,378,0.06537525506491054,0.09244482222392027,0.12417295853362686,0.029584875422909926,1.0831528160422896,345,345,False,1.0,0.0,0.0,0.05816011039025655,0.027418569790825346,1.4693751235082722,3.0307736513129573,0.0736690614844934,0.9721711740337042
2023-02-28,0.04623218813087136,0.3507853403141361,382,0.08022219452371625,0.2817266264266038,0.2721343476474157,0.035063588865988635,1.0487369340207504,348,348,False,1.0,0.0,0.0,0.04553061745024309,0.03296611499794713,1.5362766801476309,3.1306864840348885,-0.02102497935404,0.9517312951710527
2023-03-31,0.005648679064571741,0.31168831168831174,385,0.06994060621225813,0.19121870757599074,0.1582935260903203,0.021922283967077478,1.056179334993612,348,348,False,1.0,0.0,0.0,0.0050253024411951175,0.019809925297090254,1.5439969350987277,3.19270514941223,-0.0045558491599816,0.9473953509494194
2023-04-30,-0.0009793519361005892,0.38303341902313626,389,0.06797284748697567,0.13946392783921152,0.09967708787929914,0.04554932616371263,1.1439631619840718,355,355,False,1.0,0.0,0.0,-0.001745418774146862,0.04326139983974448,1.5413020138609812,3.3308260434513635,-0.0053923654877545,0.9422866489557007
2023-05-31,-0.001142073979397826,0.30946291560102296,391,0.06786576282734848,0.08603198163039981,0.11996087248518371,-0.0038658952667247858,1.0844522797333327,356,356,False,1.0,0.0,0.0,-0.001760999810599872,-0.006034799826191451,1.5385877813064948,3.310725175023269,-0.0572212951025062,0.8883677865446549
2023-06-30,0.019766565452434867,0.3375959079283887,390,0.06948634380088056,0.037696075519928804,0.03171013295407625,-0.011159397474687825,1.0627264208914173,357,357,False,1.0,0.0,0.0,0.01909137363657809,-0.01328485031647066,1.5679615355120908,3.266742686634114,0.0115597943954661,0.8986371355046665
2023-07-31,0.03397234261845104,0.31565656565656564,396,0.07314439020357391,0.3358506942572836,0.33048606952611587,0.07057152762562413,1.0227677107774518,362,362,False,1.0,0.0,0.0,0.033341029487137915,0.06852599220406923,1.6202389873022975,3.4905994705111034,0.0448069216419002,0.9389022992197258
2023-08-31,-0.04767960964217071,0.30478589420654917,397,0.07264446417728852,0.08555745239756092,0.09632226221206298,0.0023423354152959236,1.106598825505197,363,363,False,1.0,0.0,0.0,-0.048289181430583805,0.00012913776428552948,1.5419989728835515,3.4910502387227416,-0.0621112740791062,0.8805858811793864
2023-09-30,0.0019019884638897166,0.28463476070528965,397,0.06544830957975278,0.20548608718492417,0.2053284463746908,0.025356628656252763,1.0327060775034156,362,362,False,1.0,0.0,0.0,0.0013327189424791374,0.02329121650124593,1.5440540241239968,3.5723610456495596,-0.0201182245911577,0.8628700566500169
2023-10-31,-0.020085926639001214,0.2330827067669173,399,0.06764932166178468,-0.024714405329199333,-0.034817404195659235,-0.006583639410724373,0.9609482129815408,362,362,False,1.0,0.0,0.0,-0.020552092052535047,-0.008505535836687455,1.5123204836861133,3.541976200754201,-0.0317147719089088,0.8355043296163344
2023-11-30,0.02853661686275846,0.2388059701492537,402,0.0693019483619015,0.058030561869294374,0.06599561460262339,-0.030009547832992672,0.9206427185102322,365,365,False,1.0,0.0,0.0,0.02805900492245995,-0.03185083327001314,1.554754691582199,3.4291613073376244,-0.0213578298058978,0.817659770342298
2023-12-31,-0.02158526029628696,0.28217821782178215,404,0.0752158640756144,0.1285391527129871,0.12692192395591506,0.006012282130244486,0.9411193022435121,372,372,False,1.0,0.0,0.0,-0.022149616731930524,0.004130043525757462,1.5203174710514824,3.443323892793772,-0.018616588867615,0.8024377345642469
2024-01-31,-0.1087900551701761,0.24754901960784315,408,0.0690945700146194,0.4110854340409348,0.3847929496722246,0.14325431683706746,0.9906792542035594,375,375,False,1.0,0.0,0.0,-0.10928515320939179,0.14127295832866035,1.354169343300706,3.929772445612507,-0.062883607591014,0.7519775549476866
2024-02-29,0.06372087816484902,0.2895377128953771,411,0.057531328206464005,-0.042384665664531244,-0.049183729485544926,-0.018192882822228452,1.0208077405958762,379,379,False,1.0,0.0,0.0,0.06314180273905827,-0.020234498303420206,1.4396740368506793,3.8502554717289335,0.0935301409307123,0.8223101216386762
2024-03-31,0.04940001403645813,0.2891566265060241,415,0.06532496366048778,0.1526664012305544,0.16094701959108487,0.030780648151123517,1.0748995199992208,380,380,False,1.0,0.0,0.0,0.04882170078344608,0.028630849111125074,1.5099613719034992,3.9604915551792885,0.0060877622879653,0.8273161501862004
2024-04-30,0.02531620711575603,0.32853717026378904,417,0.06929210318107593,0.3689147434020818,0.3737132475180363,0.11843879975633297,1.0963540869254407,382,382,False,1.0,0.0,0.0,0.02465913277522845,0.11624609158248209,1.5471957098587337,4.420883219214307,0.0189144447347744,0.8429643757870836
2024-05-31,-0.010410275327789216,0.290167865707434,417,0.06333844930966868,0.11390412988936016,0.0915153001372647,0.04179124154881545,0.9819802499543879,385,385,False,1.0,0.0,0.0,-0.010990611059204083,0.039827281048906676,1.5301910835792072,4.59695497767035,-0.0067904253400389,0.8372402891289888
2024-06-30,-0.0701708454274384,0.2829736211031175,414,0.0665353172093685,0.11559726316348216,0.11077252273087189,0.020468336638130816,0.9512595263214954,378,378,False,1.0,0.0,0.0,-0.07073679266964464,0.018565817585487827,1.421950274155126,4.682301205234479,-0.0330352071142027,0.8095818827732577
2024-07-31,0.0010691578213418225,0.2446043165467626,417,0.06399036484965244,0.08895258595362002,0.09438357501396372,0.010762213239665612,0.9460155121633803,384,384,False,1.0,0.0,0.0,0.0005799491882482973,0.008870182215338852,1.4227749330623518,4.723834070112009,-0.0056542981312334,0.8050042654464125
2024-08-31,-0.0310725469175139,0.2925659472422062,417,0.0680176996651208,0.23462432603020025,0.22687763526219712,,1.1243820439284815,381,381,False,1.0,0.0,0.0,-0.03165767881199831,,1.3777331812097016,,-0.0350516373508144,0.7767875478681261
2024-09-30,0.21003030881688411,0.275779376498801,416,0.06450822949635572,-0.10990864864231727,-0.09654658195889008,-0.0661701665556148,1.1384889322829657,380,380,False,1.0,0.0,0.0,0.20947875006388653,-0.06844714442018074,1.666339005931052,4.400501117298082,0.2096737951836129,0.9396595410810085
2024-10-31,0.007553153120868622,0.3557692307692308,416,0.08023675522746657,-0.25061077534979487,-0.23681995915905948,-0.15973029661950444,1.1274079478026846,378,378,False,1.0,0.0,0.0,0.006841614659330161,-0.1619851125151098,1.6777394553014437,3.6876854486896855,-0.0315627549056246,0.910001297291137
