signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return,exposure,scaled_turnover,scaled_gross_return,scaled_net_return,hedge_index_return,estimated_beta,hedge_notional,hedge_turnover,hedge_trade_cost,hedge_roll_cost,overlay_gross_return,overlay_net_return
2020-02-29,2020-03-31,-0.0351671677856175,0.2167832167832165,286,0.75,0.2,-0.0356007342191839,1.0,0.4272085582522041,-0.0351671677856175,-0.0360215849021219,-0.07518211839407041,0.8448980729773932,0.4224490364886966,0.03357694466764549,1.6788472333822746e-05,0.0003520408637405805,-0.0034065543088633438,-0.004208950078504149
2020-03-31,2020-04-30,0.0526649723974154,0.2237762237762235,286,0.75,0.2,0.052217419949863,1.0,0.2237762237762235,0.0526649723974154,0.052217419949863,0.061969621325469015,0.7673172869141047,0.38365864345705236,0.03879039303164422,1.9395196515822112e-05,0.0003197155362142103,0.028889791544138732,0.028103128363856304
2020-04-30,2020-05-31,0.0263065326200877,0.2307692307692304,286,0.75,0.2,0.0258449941585492,1.0,0.2307692307692304,0.0263065326200877,0.0258449941585492,0.009803668318405734,0.7913105340352472,0.3956552670176236,0.01199662356057124,5.99831178028562e-06,0.00032971272251468633,0.022427659613816663,0.021630410117983192
2020-05-31,2020-06-30,0.0882633936806071,0.163763066202095,287,0.75,0.2,0.0879358675482029,1.0,0.163763066202095,0.0882633936806071,0.0879358675482029,0.084728544178994,0.8019511334636791,0.40097556673183954,0.005320299714215937,2.6601498571079684e-06,0.00033414630560986625,0.05428931766007127,0.05362498507220011
2020-06-30,2020-07-31,0.1393986504396434,0.1724137931034509,290,0.75,0.2,0.1390538228534364,1.0,0.1724137931034509,0.1393986504396434,0.1390538228534364,0.12196518595711314,0.8536162113917775,0.42680810569588873,0.02583253896404919,1.2916269482024596e-05,0.0003556734214132406,0.08734292046044112,0.08662950318333887
2020-07-31,2020-08-31,0.035535218482118,0.1790540540540545,296,0.75,0.2,0.0351771103740099,0.8243471156204741,0.3232555773791382,0.0292933548586774,0.0286468437039191,0.013490077191970595,0.9525146619547294,0.4762573309773647,0.049449225281475995,2.4724612640738e-05,0.0003968811091478039,0.029110470323991458,0.028330756494094816
2020-08-31,2020-09-30,-0.0693197181971028,0.1784511784511817,297,0.75,0.2,-0.0696766205540052,0.8676455541928898,0.1904041528077218,-0.0601449453116202,-0.0605257536172357,-0.07137122637937621,0.9190271639598929,0.45951358197994646,0.016743748997418262,8.37187449870913e-06,0.0003829279849832887,-0.03652367031321399,-0.03727187252959839
2020-09-30,2020-10-31,0.0063667111615656,0.1414141414141451,296,0.75,0.2,0.0060838828787373,0.744547678869771,0.2283874460723821,0.0047403200173779,0.0042835451252332,-0.013085039286072964,0.9493671696734806,0.4746835848367403,0.015170002856793818,7.585001428396909e-06,0.0003955696540306169,0.012577964517608295,0.011891981579320983
2020-10-31,2020-11-30,0.0200799725505594,0.171717171717175,297,0.75,0.2,0.019736538207125,0.7452047217059834,0.1285086644603169,0.0149636903564034,0.0147066730274827,0.03427364880225037,0.9411905741582758,0.4705952870791379,0.004088297757602388,2.044148878801194e-06,0.00039216273923261494,0.00395095495321484,0.003213313721669021
2020-11-30,2020-12-31,0.023652228794701,0.1566666666666673,300,0.75,0.2,0.0233388954613677,0.7632257716764156,0.1347697897043701,0.0180519905737028,0.0177824509942941,0.007303624229803685,0.9216835134040569,0.4608417567020284,0.009753530377109465,4.876765188554733e-06,0.00038403479725169034,0.02028641377434677,0.019584168878573224
