month,decile,return,stocks
2018-08-31,8,-0.08424639870091734,266
2018-08-31,9,-0.06930561865076042,254
2018-08-31,10,-0.06588880375680686,298
2018-09-30,1,-0.0186099928275575,229
2018-09-30,2,-0.014831004730517273,267
2018-09-30,3,-0.0009501903989229593,259
2018-09-30,4,-0.00030805456266866664,264
2018-09-30,5,-0.009578839263956257,274
2018-09-30,6,0.0006348977105907739,254
2018-09-30,7,0.0010578331599219331,256
2018-09-30,8,-0.003547782166787069,267
2018-09-30,9,5.170685161735142e-05,259
2018-09-30,10,0.0016532826995066356,303
2018-10-31,1,-0.1103703158106416,231
2018-10-31,2,-0.10294937793379459,270
2018-10-31,3,-0.10377618065068028,262
2018-10-31,4,-0.0975905387009372,270
2018-10-31,5,-0.1004838469068409,275
2018-10-31,6,-0.09532236916020341,258
2018-10-31,7,-0.0993389674771361,257
2018-10-31,8,-0.09799943002563236,275
2018-10-31,9,-0.09473052806619736,257
2018-10-31,10,-0.08707540251459686,307
2018-11-30,1,0.027488313883313933,234
2018-11-30,2,0.04306635046958859,275
2018-11-30,3,0.056392875917852095,260
2018-11-30,4,0.05365040074178233,274
2018-11-30,5,0.060974772694049495,280
2018-11-30,6,0.06063275375813171,254
2018-11-30,7,0.047824651488896724,266
2018-11-30,8,0.054930154791143396,268
2018-11-30,9,0.054176271005470594,267
2018-11-30,10,0.05332191351592295,310
2018-12-31,1,-0.0532160155090277,238
2018-12-31,2,-0.047750075822794676,279
2018-12-31,3,-0.0442123591097702,264
2018-12-31,4,-0.047363156760981504,278
2018-12-31,5,-0.03836241510648148,278
2018-12-31,6,-0.05113626761593168,268
2018-12-31,7,-0.04550098752880924,265
2018-12-31,8,-0.03973245011158767,277
2018-12-31,9,-0.0350044342767868,266
2018-12-31,10,-0.04004303867655467,310
2019-01-31,1,-0.08946009477735405,242
2019-01-31,2,-0.06224720094049914,277
2019-01-31,3,-0.0380689039686762,263
2019-01-31,4,-0.03325405644962539,282
2019-01-31,5,-0.02079990093297461,283
2019-01-31,6,-0.009996224047143521,260
2019-01-31,7,-0.005914072398239312,273
2019-01-31,8,-0.0007876891574241672,272
2019-01-31,9,-0.00018369359945951934,268
2019-01-31,10,0.004759765243003256,316
2019-02-28,1,0.2684802984185131,241
2019-02-28,2,0.2492198345455802,282
2019-02-28,3,0.24446623612105395,264
2019-02-28,4,0.2434184034040593,282
2019-02-28,5,0.24364161257884928,285
2019-02-28,6,0.23210060063456395,266
2019-02-28,7,0.222086416440754,270
2019-02-28,8,0.2166844869568974,276
2019-02-28,9,0.22139876343817502,270
2019-02-28,10,0.19281549071369913,315
2019-03-31,1,0.07947578094232967,244
2019-03-31,2,0.092066355459292,282
2019-03-31,3,0.11101926477957567,263
2019-03-31,4,0.10961924982835163,286
2019-03-31,5,0.10297965602812224,279
2019-03-31,6,0.11111576760432719,270
2019-03-31,7,0.10545825556829216,271
2019-03-31,8,0.10692934026881121,278
2019-03-31,9,0.10226966833048046,267
2019-03-31,10,0.10125770332066275,319
2019-04-30,1,-0.07706687425305524,244
2019-04-30,2,-0.0732307599236102,278
2019-04-30,3,-0.05999513831459949,273
2019-04-30,4,-0.05582355301964969,281
2019-04-30,5,-0.03989657932897262,283
2019-04-30,6,-0.043970828914561604,268
2019-04-30,7,-0.026533959272408453,272
2019-04-30,8,-0.021862028819277304,282
2019-04-30,9,-0.029520145333608586,269
2019-04-30,10,-0.020945274616197506,315
2019-05-31,1,-0.08223477928835335,241
2019-05-31,2,-0.058320854737400375,277
2019-05-31,3,-0.05068148343429372,267
2019-05-31,4,-0.05658767827291688,282
2019-05-31,5,-0.04704857820868944,285
2019-05-31,6,-0.05213923732569244,259
2019-05-31,7,-0.04389904449979144,273
2019-05-31,8,-0.05452337376617279,276
2019-05-31,9,-0.04916096942546529,268
2019-05-31,10,-0.042528070772734045,317
2019-06-30,1,-0.041222854672536766,242
2019-06-30,2,-0.017656098719282764,279
2019-06-30,3,0.0048190807894405024,264
2019-06-30,4,0.011099766781562923,282
2019-06-30,5,0.007329928297690902,280
2019-06-30,6,0.016007500538170887,265
2019-06-30,7,0.01695327669718252,269
2019-06-30,8,0.014254293687213536,277
2019-06-30,9,0.01401256801484901,266
2019-06-30,10,0.018678799796757076,313
2019-07-31,1,-0.04782449492510164,245
2019-07-31,2,-0.0393912889530623,277
2019-07-31,3,-0.01754970399934379,272
2019-07-31,4,-0.009288068143449763,275
2019-07-31,5,-0.013306620801065192,285
2019-07-31,6,-0.008526006159765934,269
2019-07-31,7,-0.009988401472231755,264
2019-07-31,8,-0.00632990337893287,283
2019-07-31,9,-0.017422519317618502,266
2019-07-31,10,-0.008401848898246056,318
2019-08-31,1,0.022928507470921344,243
2019-08-31,2,-0.0031119436777340766,283
2019-08-31,3,-0.008225923198663264,266
2019-08-31,4,-0.0055105594315059,285
2019-08-31,5,-0.008390920213855124,281
2019-08-31,6,-0.004250891832478741,269
2019-08-31,7,-0.01695831133707429,270
2019-08-31,8,-0.019389691429975608,281
2019-08-31,9,-0.02284552959622626,268
2019-08-31,10,-0.01802492333699032,321
2019-09-30,1,-0.008970721717170102,248
2019-09-30,2,0.014423714454811082,281
2019-09-30,3,0.013384363102913152,266
2019-09-30,4,0.01871128492470616,288
2019-09-30,5,0.0181565514366891,282
2019-09-30,6,0.020469874592540807,270
2019-09-30,7,0.014711365922452231,276
2019-09-30,8,0.023725372590786133,278
2019-09-30,9,0.018275358858109846,269
2019-09-30,10,0.007724049934099694,322
2019-10-31,1,-0.015742128338057885,246
2019-10-31,2,-0.008526188230860047,281
2019-10-31,3,-0.005592661484640605,273
2019-10-31,4,-0.007823664480846863,282
2019-10-31,5,-0.0009338441898511148,288
2019-10-31,6,-0.003681150694836478,268
2019-10-31,7,-0.007409614984858259,273
2019-10-31,8,0.004009616564607693,282
2019-10-31,9,0.0031096643805593525,272
2019-10-31,10,-0.00029641862562261725,323
2019-11-30,1,-0.031168371126673526,246
2019-11-30,2,-0.038754649872374695,282
2019-11-30,3,-0.030856041902706435,271
2019-11-30,4,-0.019634577696342033,288
2019-11-30,5,-0.009190328349700757,291
2019-11-30,6,-0.016191724753333497,260
2019-11-30,7,-0.022788933621594048,283
2019-11-30,8,-0.02496058846224116,276
2019-11-30,9,-0.017472287983365687,277
2019-11-30,10,-0.022616861905681147,318
2019-12-31,1,0.07454192445997021,248
2019-12-31,2,0.08800675369503487,285
2019-12-31,3,0.08888166776253398,269
2019-12-31,4,0.09328267867361009,280
2019-12-31,5,0.08979194376917941,292
2019-12-31,6,0.09413763543675449,271
2019-12-31,7,0.07919800793358849,272
2019-12-31,8,0.08726170833963104,277
2019-12-31,9,0.07738873247516415,277
2019-12-31,10,0.08237378556732843,318
2020-01-31,1,0.03565375626738454,247
2020-01-31,2,0.00325582448584826,284
2020-01-31,3,0.011756049624378265,269
2020-01-31,4,0.00684591155995929,277
2020-01-31,5,0.00557267387874348,291
2020-01-31,6,0.011377917491261446,271
2020-01-31,7,0.007243221370438556,268
2020-01-31,8,0.014055404973111339,278
2020-01-31,9,0.002069327802210955,275
2020-01-31,10,-0.002834426624074723,321
2020-02-29,1,0.029449444369052145,244
2020-02-29,2,0.03349453832156493,285
2020-02-29,3,0.019137454126682593,274
2020-02-29,4,0.01424854306893816,283
2020-02-29,5,0.012728256488503214,293
2020-02-29,6,0.0034382755619466274,268
2020-02-29,7,0.011143279696091721,271
2020-02-29,8,-0.003944567720049084,286
2020-02-29,9,-0.0024861900672547175,273
2020-02-29,10,-0.008685653402483819,317
2020-03-31,1,-0.12779463212546724,251
2020-03-31,2,-0.09299224888799423,288
2020-03-31,3,-0.07910764244844803,280
2020-03-31,4,-0.06299018251898035,287
2020-03-31,5,-0.04001324018131492,297
2020-03-31,6,-0.04284057815501193,275
2020-03-31,7,-0.025566867052054555,279
2020-03-31,8,-0.027099595849893146,288
2020-03-31,9,-0.018062976449329846,280
2020-03-31,10,-0.01735289829215093,320
2020-04-30,1,0.02251602130880285,247
2020-04-30,2,0.02566419695318763,292
2020-04-30,3,0.025855221928747448,278
2020-04-30,4,0.0236141539907977,296
2020-04-30,5,0.03578955537912811,293
2020-04-30,6,0.039048784552700964,277
2020-04-30,7,0.03230913166374009,283
2020-04-30,8,0.024036771843772682,291
2020-04-30,9,0.030169059705309125,279
2020-04-30,10,0.025170230000752268,322
2020-05-31,1,0.00303326119760058,250
2020-05-31,2,0.020781657036460868,288
2020-05-31,3,0.021365112081208996,285
2020-05-31,4,0.014931768061433811,283
2020-05-31,5,0.01830909564613798,291
2020-05-31,6,0.020200924381426472,278
2020-05-31,7,0.028863197866517983,273
2020-05-31,8,0.011903659342043137,295
2020-05-31,9,0.013248170369564279,278
2020-05-31,10,0.016803007641130494,323
2020-06-30,1,0.07104617106146292,251
2020-06-30,2,0.08282075772301303,285
2020-06-30,3,0.08982158662005522,277
2020-06-30,4,0.08725518999734722,285
2020-06-30,5,0.0768605609092167,301
2020-06-30,6,0.08290904937642804,270
2020-06-30,7,0.07596817703958603,279
2020-06-30,8,0.0777036731157575,283
2020-06-30,9,0.07370607097109429,279
2020-06-30,10,0.06099891010402432,326
2020-07-31,1,0.10858073953510491,253
2020-07-31,2,0.12063199028194356,292
2020-07-31,3,0.12189478665769352,283
2020-07-31,4,0.13237306354112388,293
2020-07-31,5,0.14057290202838404,297
2020-07-31,6,0.1437843067951646,275
2020-07-31,7,0.14840530690128578,282
2020-07-31,8,0.14327739112785207,294
2020-07-31,9,0.16253832353683903,281
2020-07-31,10,0.1516500414505416,323
2020-08-31,1,-0.015167420361264061,264
2020-08-31,2,-0.005759769062061503,300
2020-08-31,3,0.020441142805750146,285
2020-08-31,4,0.027499525903363225,298
2020-08-31,5,0.03180142562592661,305
2020-08-31,6,0.03923039236160142,286
2020-08-31,7,0.0292158007276123,286
2020-08-31,8,0.04906608167961287,297
2020-08-31,9,0.0491739173861711,288
2020-08-31,10,0.04661602756646999,334
2020-09-30,1,-0.07129299329463595,259
2020-09-30,2,-0.07180328779796244,299
2020-09-30,3,-0.07801963428937012,291
2020-09-30,4,-0.07228387208304261,299
2020-09-30,5,-0.0669352504121647,306
2020-09-30,6,-0.07127144448197935,280
2020-09-30,7,-0.06887743242638217,294
2020-09-30,8,-0.06821653223893145,296
2020-09-30,9,-0.06890297721753935,294
2020-09-30,10,-0.07246345164772455,333
2020-10-31,1,0.02942136564729323,260
2020-10-31,2,0.012710928999926473,302
2020-10-31,3,0.007677195622245612,295
2020-10-31,4,-0.002950528834733265,295
2020-10-31,5,0.0027661960122844164,305
2020-10-31,6,0.004312039324509655,292
2020-10-31,7,-0.0011880734752060978,284
2020-10-31,8,-0.002112986117785478,306
2020-10-31,9,-0.0038629352137460183,291
2020-10-31,10,-0.008363551887112748,331
2020-11-30,1,-0.01933369502098412,264
2020-11-30,2,0.008017361520531847,299
2020-11-30,3,0.007980884681992232,289
2020-11-30,4,0.01690638949347072,300
2020-11-30,5,0.027618542667682423,308
2020-11-30,6,0.03883845607463761,282
2020-11-30,7,0.022764461078864102,294
2020-11-30,8,0.03840271953716923,295
2020-11-30,9,0.03938910029758314,293
2020-11-30,10,0.03701481040061107,333
2020-12-31,1,-0.01808065662049949,266
2020-12-31,2,-0.0263623453239944,300
2020-12-31,3,-0.03564584458715586,298
2020-12-31,4,-0.028372832109122614,295
2020-12-31,5,-0.02335265177025657,310
2020-12-31,6,-0.02666075436376656,286
2020-12-31,7,-0.015156414121744965,289
2020-12-31,8,-0.022300201994292817,304
2020-12-31,9,-0.02756235445621897,294
2020-12-31,10,-0.04117357762123635,339
2021-01-31,1,-0.06780287110152272,265
2021-01-31,2,-0.08808964236357648,302
2021-01-31,3,-0.08233309600139833,299
2021-01-31,4,-0.06364082144991275,295
2021-01-31,5,-0.06419722019975181,312
2021-01-31,6,-0.057991691629683366,290
2021-01-31,7,-0.06525244890881775,286
2021-01-31,8,-0.05193300054721283,308
2021-01-31,9,-0.04926313657244164,293
2021-01-31,10,-0.05779189177060465,341
2021-02-28,1,-0.011657888174172099,266
2021-02-28,2,0.009722447838611589,307
2021-02-28,3,0.029236202598521416,298
2021-02-28,4,0.026695505955507747,302
2021-02-28,5,0.03212872702630506,312
2021-02-28,6,0.03162579971699754,289
2021-02-28,7,0.03633100914443592,293
2021-02-28,8,0.03777214090711007,307
2021-02-28,9,0.03924499016116235,298
2021-02-28,10,0.05426557109147751,340
2021-03-31,1,-0.020710515719724817,271
2021-03-31,2,-0.01616013745613903,309
2021-03-31,3,-0.0167517101140922,296
2021-03-31,4,1.6656170990078217e-05,304
2021-03-31,5,0.008262394684735996,317
2021-03-31,6,0.021054345812342806,294
2021-03-31,7,0.009674158086934581,293
2021-03-31,8,0.018832101847049077,307
2021-03-31,9,0.01971095053198197,298
2021-03-31,10,0.028234496810876884,343
2021-04-30,1,-0.00045050099339118143,270
2021-04-30,2,-0.01599834752754691,314
2021-04-30,3,0.005249676991739788,303
2021-04-30,4,0.010151783795996327,309
2021-04-30,5,0.001574878067991479,322
2021-04-30,6,0.011444417012322336,299
2021-04-30,7,0.014901358246520748,300
2021-04-30,8,0.00033001869075117453,312
2021-04-30,9,0.0029537402911044178,305
2021-04-30,10,0.0058323085246561,345
2021-05-31,1,0.10836896245942096,275
2021-05-31,2,0.09175696874052672,314
2021-05-31,3,0.08631873638818782,309
2021-05-31,4,0.08209107084738072,313
2021-05-31,5,0.06041128210902562,324
2021-05-31,6,0.058638387152557904,300
2021-05-31,7,0.04851699900996484,306
2021-05-31,8,0.046524457584812044,316
2021-05-31,9,0.035171133263838035,307
2021-05-31,10,0.03306191815687648,348
2021-06-30,1,0.026988189366674378,277
2021-06-30,2,0.038960477948835726,315
2021-06-30,3,0.03615368990535233,311
2021-06-30,4,0.04327829130410033,314
2021-06-30,5,0.04215858021780335,322
2021-06-30,6,0.030720722162613855,302
2021-06-30,7,0.022997871342785053,307
2021-06-30,8,0.016401141824546172,318
2021-06-30,9,0.014354850501121147,308
2021-06-30,10,0.012851734464243092,350
2021-07-31,1,0.08093179957333922,275
2021-07-31,2,0.04309276908037632,313
2021-07-31,3,0.004850739451183837,316
2021-07-31,4,0.006136522117149758,307
2021-07-31,5,-0.0054276049816956475,335
2021-07-31,6,0.002157324055387621,297
2021-07-31,7,0.004436352417810758,305
2021-07-31,8,-0.006962890724716342,318
2021-07-31,9,-0.018953354044703722,311
2021-07-31,10,-0.014920837105953157,352
2021-08-31,1,0.018984482993598492,282
2021-08-31,2,0.059261916083482476,324
2021-08-31,3,0.05704525958302909,310
2021-08-31,4,0.06549415974844591,325
2021-08-31,5,0.07099262853894438,332
2021-08-31,6,0.07796455913602147,302
2021-08-31,7,0.06122477963910502,321
2021-08-31,8,0.06577078879101127,314
2021-08-31,9,0.0672611447287766,320
2021-08-31,10,0.07200067966595615,360
2021-09-30,1,-0.09289377263270168,289
2021-09-30,2,-0.04646469108190985,322
2021-09-30,3,-0.0390275189098578,323
2021-09-30,4,-0.024358575305317428,322
2021-09-30,5,-0.01844376355517328,339
2021-09-30,6,-0.01135042915534435,312
2021-09-30,7,-0.0160308624289992,314
2021-09-30,8,-0.00811353715008377,331
2021-09-30,9,0.0019188090688668123,314
2021-09-30,10,0.01364893699214625,365
2021-10-31,1,-0.013246841644506423,298
2021-10-31,2,-0.017119963286446875,326
2021-10-31,3,-0.007405436577212489,325
2021-10-31,4,-0.016632179918834016,331
2021-10-31,5,-0.022552227075559806,343
2021-10-31,6,-0.02854574056403354,315
2021-10-31,7,-0.029683415350823104,323
2021-10-31,8,-0.0222823821577669,333
2021-10-31,9,-0.019566866143082978,318
2021-10-31,10,-0.019662726660444413,373
2021-11-30,1,0.08281886307010566,295
2021-11-30,2,0.10207589299253435,330
2021-11-30,3,0.11581905329668417,322
2021-11-30,4,0.11405735923330663,334
2021-11-30,5,0.10271335525179695,345
2021-11-30,6,0.09827995050251417,312
2021-11-30,7,0.10248893267137178,329
2021-11-30,8,0.09637519558476622,327
2021-11-30,9,0.10232758521027802,325
2021-11-30,10,0.08265759206647083,373
2021-12-31,1,-0.035910223754142254,300
2021-12-31,2,-0.006261865699523217,338
2021-12-31,3,-0.006822477938120653,327
2021-12-31,4,0.020214450599942604,333
2021-12-31,5,0.02281627200593368,344
2021-12-31,6,0.03291479157051563,327
2021-12-31,7,0.02821465865399331,323
2021-12-31,8,0.05439343570391541,337
2021-12-31,9,0.054994195810705714,328
2021-12-31,10,0.06644055785232308,371
2022-01-31,1,-0.15088779043742287,309
2022-01-31,2,-0.12125333494035105,345
2022-01-31,3,-0.1126740458904241,332
2022-01-31,4,-0.10493461403561301,342
2022-01-31,5,-0.1013513366549741,352
2022-01-31,6,-0.09981193823803829,330
2022-01-31,7,-0.094123799253181,334
2022-01-31,8,-0.09349550049109592,340
